WBGeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00021406,92.10707195964221,0.7814286824198842,0.8830678628753125,0.8849021861983675,0.3762093888177705,0.45963165063227024
WBGene00021407,11.413559643888833,0.2811305848601487,1.1862550984206426,0.23698999079914648,0.8126645552857983,0.8553787300245397
WBGene00021408,8.461642392294273,7.638963675300254,1.6938818606182322,4.50973816586724,6.490768769820336e-6,3.554902110259244e-5
WBGene00021404,7.757732764978818,8.207848126121599,1.615302289821843,5.08130780092367,3.74845158089375e-7,2.602258386380461e-6
WBGene00001492,580.0155711032625,0.42507862384728684,0.3265967445098514,1.3015396846200495,0.1930737899828481,0.2631139940265301
WBGene00021403,7.0930877046047875,-1.121622464986715,1.488545539517668,-0.7535022847538498,0.4511481388719863,0.5331316333167215
WBGene00015246,12.684867814901475,1.6847141181920733,0.9963691650383927,1.69085332756876,0.09086481915933176,0.14041251951695277
WBGene00006599,3426.1153532411895,0.8712457306056836,0.24724848418431278,3.523765710758447,4.2546027022150723e-4,0.0014538808621439385
WBGene00015247,41.51510834248299,-0.6821387363631258,0.5695746633653619,-1.1976283009722961,0.23106175332368628,0.30591495057772333
WBGene00017928,1142.554130450473,-0.3959041709366744,0.24221078543596036,-1.634543937521519,0.10214468835304229,0.1546626630549167
WBGene00017929,2304.2396073930818,-0.8631054794695745,0.17460322933053,-4.943238923924401,7.683522317260879e-7,5.030034308282269e-6
WBGene00017926,5497.452510393908,0.5497977700033301,0.20843181764351362,2.6377823511747307,0.0083450122550482,0.01880396587187722
WBGene00000897,1630.2785729310135,-0.08217131221120365,0.15721828884102595,-0.5226574644524506,0.6012126435226699,0.672366398784571
WBGene00000674,2167.4979659991136,-2.50965423812526,0.4438908224960506,-5.653764644227554,1.569711179824155e-8,1.342764985150783e-7
WBGene00021400,214.174816570658,-2.690718438975626,0.8858563235375552,-3.0374208181193336,0.002386120847359106,0.006449421636225859
WBGene00021397,148.58932554825495,5.83947451454526,0.7227511675342188,8.079508933160996,6.502809820489007e-16,1.1248492734887961e-14
WBGene00021396,535.0388397282131,0.635347249342963,0.5331022800652757,1.1917924066375554,0.2333426539208996,0.30854247475192176
WBGene00006561,1228.4960204351312,0.4742462649448114,0.31316554472190905,1.5143628439902035,0.12993383761795854,0.18841130185597033
WBGene00021395,852.3471668629154,-1.7569673504488024,0.3755414923432403,-4.678490622929505,2.8899438418294165e-6,1.691938636033564e-5
WBGene00021402,402.0370752600559,-0.5269947168564484,0.21866118637396192,-2.4100972175060087,0.01594827020986195,0.032546639754121205
WBGene00000815,1411.7067951267245,-0.8541631423328304,0.18149895598435836,-4.706160086157424,2.5242632186721027e-6,1.4974930298389002e-5
WBGene00044736,168.21272467661132,-0.6243031073349148,0.34581193269993227,-1.8053255203215752,0.07102375839320012,0.11421714260288128
WBGene00195063,539.3494232816845,-0.12289173001271549,0.2762881480496864,-0.44479551830292485,0.6564675334493986,0.7225659155504908
WBGene00021394,1153.5719732587327,0.09347761642757038,0.18622893080964328,0.5019500247419664,0.6157026752892761,0.6858215637180698
WBGene00021401,665.5287253768973,1.005427227999207,0.18855003875721885,5.332415917950656,9.691464798931766e-8,7.391634773404013e-7
WBGene00019821,1575.915085989357,-0.5785864485471597,0.1917351814739622,-3.0176331964706864,0.0025475705776368926,0.006811546118228049
WBGene00019822,1392.8097785562352,-0.9589359717752651,0.18215080571752063,-5.264516772230931,1.4055856805309698e-7,1.0420146335972353e-6
WBGene00019823,1429.0560411985477,-0.5018648523010995,0.17236399476271339,-2.911657118367422,0.0035951704562775487,0.00915944585337715
WBGene00019820,1391.0597256009376,-0.8499531869067148,0.18456972235141889,-4.605052096726962,4.1236261590247235e-6,2.3524850476247692e-5
WBGene00019819,3021.070990222395,-2.1262939168914876,0.5183599469698068,-4.101964145419089,4.096577639123163e-5,1.8622975181345694e-4
WBGene00019824,885.6950172980464,-1.3208357369148032,0.3027137540329653,-4.363315902623193,1.281057484715005e-5,6.55210147716057e-5
WBGene00019825,282.8560475408069,-0.6776087880304957,0.3881400660218612,-1.745784182950932,0.08084846043459805,0.12725241354175953
WBGene00001071,1125.1497059182168,-2.9889573872454953,0.915631282717679,-3.26436792152185,0.0010970860015261936,0.0033043739575470774
WBGene00020647,1243.763561912482,-0.5803569006079673,0.18964054068424013,-3.060299757182654,0.0022111556447816285,0.006032882300696775
WBGene00003932,3073.69091219956,-1.6881416137446297,0.32262162995280297,-5.232574189125483,1.6716552429970103e-7,1.227609539050931e-6
WBGene00020651,286.2495766506054,0.6599350201827907,0.534325039303863,1.2350815919886082,0.2168001395582596,0.2901566429526189
WBGene00020650,15.968890529882746,-0.8565891403173755,0.7871825256629854,-1.0881709290941566,0.2765196558522635,0.35540500488869875
WBGene00020649,725.4669574581351,2.5168836534231014,0.5041854391718608,4.9919800491603965,5.97634296759068e-7,3.9927492366880425e-6
WBGene00206487,671.5806642773406,1.1571492573767588,0.3634757900940918,3.1835662481872897,0.0014547282037866498,0.004216525244599641
WBGene00045177,71.35943557991862,4.340051952227912,1.5112594454348738,2.8718112997328773,0.004081265891754831,0.010221159728909806
WBGene00020648,429.78261574437283,1.613078424079042,0.6222788159978392,2.592211694515796,0.00953610720658666,0.02102682023812586
WBGene00019298,9065.31483534809,7.26922654881845,0.5053050690641697,14.385817585960762,6.352296241687274e-47,6.659252838601022e-45
WBGene00019300,492.8080147141189,0.3842673764038187,0.6120824279766472,0.6278033134754191,0.5301327952293634,0.6085598781129312
