WBGeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00000001,574.9168766147038,0.3597767008095605,0.08047143296231242,4.470862361529668,7.79048257847633e-6,2.0204877449489418e-05
WBGene00000002,178.31184930481288,-0.1589049951263339,0.121271099947363,-1.310328637204624,0.19008468368311518,0.24070897975781874
WBGene00000003,511.3189843084377,-0.4885388607937758,0.13285753339655695,-3.6771634118448597,2.3584196608736037e-4,5.049143513131997e-4
WBGene00000004,1686.6342265936373,-0.6312118489443794,0.07081932233792551,-8.912989112384514,4.967486212680062e-19,4.1073197580479795e-18
WBGene00000007,50.284244786679785,-1.9419633928448459,0.2433437039395294,-7.980331364264191,1.4594096345183241e-15,9.433849929463557e-15
WBGene00000009,18.028677414739025,1.340894036901883,0.38238761618404205,3.5066356235148435,4.538101081779652e-4,9.307514969819699e-4
WBGene00000010,189.60246414796293,0.9725097374457048,0.13780676580548581,7.057053634205463,1.7006999481400959e-12,8.578499983411435e-12
WBGene00000016,139.87399269747195,-0.6245124775696403,0.2208771700524604,-2.8274197710035525,0.004692477201907734,0.008244073579634829
WBGene00000017,399.67834038686397,-1.108502480498888,0.1715432072249793,-6.461943311139594,1.0336682523550823e-10,4.415250318583102e-10
WBGene00000018,891.9086717241107,0.1941698704148983,0.09109817158299892,2.131435428843832,0.033053286732464875,0.04972686043187658
WBGene00000020,1581.4546975745245,1.0941822347956611,0.06557262645967477,16.686570202713337,1.6413316647688754e-62,7.738690860645007e-61
WBGene00000022,3480.97977246952,2.7889072514492876,0.1017667109852193,27.404907011825813,2.397042388752609e-165,5.694358582357881e-163
WBGene00000035,257.0371862296591,0.3237107397905337,0.10034646091146808,3.2259308086224543,0.0012556370799032544,0.0024051612417498682
WBGene00000036,1294.5647616369617,-0.34975641778455047,0.06530655349806343,-5.355609797949635,8.526834757544824e-8,2.735895837920811e-7
WBGene00000037,360.1283190186752,0.19567258400385656,0.1546024053943676,1.2656503209295165,0.2056383017013013,0.25786721560411885
WBGene00000040,2774.360955509007,-0.2501346470426618,0.06944393370205174,-3.601965408754941,3.1582039622744324e-4,6.616565997321857e-4
WBGene00000041,9676.813266631316,0.21404968028977797,0.10531377008648063,2.0324947071404487,0.04210359906565622,0.06182167588946289
WBGene00000042,155.81774529471124,-0.9291543953819578,0.162982145718466,-5.700958171129808,1.1913586961228097e-8,4.206017140098619e-8
WBGene00000043,16.568260106838547,-0.2582049965238784,0.4441381869995915,-0.58136184656447,0.5609966059879257,0.6166603506957552
WBGene00000044,194.6863570795451,-1.3323530200875753,0.12935220158049804,-10.300195928698049,7.031793458596397e-25,8.499387925052964e-24
WBGene00000046,115.34023433241059,-0.019404727490809705,0.19766593486874834,-0.0981693052153604,0.92179785559535,0.9380483491366141
WBGene00000047,236.76652135949183,0.3445124128802501,0.11521970475195505,2.9900476973267405,0.0027893388737804383,0.005071637195732964
WBGene00000048,53.91515820168198,-0.576428975588338,0.20719191056690378,-2.782101743312053,0.005400810576045376,0.00937025464127648
WBGene00000050,22.073438668084627,-0.8252518394431992,0.3365406507778985,-2.4521609426251088,0.014200113320863118,0.022959947624688757
WBGene00000051,195.67423193531417,-0.7162895737360082,0.13216000633135747,-5.419866369710175,5.964360084534909e-8,1.9470861555036927e-7
WBGene00000053,43.51978432993352,-1.032063310325009,0.22486422571913586,-4.589717670849502,4.4384593525801395e-6,1.1898500082990987e-5
WBGene00000054,84.50906764943214,-0.5504623870545432,0.1842056413356699,-2.9883036320883334,0.0028053070552955302,0.005097669616661619
WBGene00000057,71.87087064737892,-0.20231826397730382,0.1960247957796977,-1.0321054699869654,0.30202271166225636,0.36236271922725843
WBGene00000058,343.2716006608718,-1.0523417830529833,0.09891865984674528,-10.638455723959229,1.973733769367894e-26,2.593780133298042e-25
WBGene00000059,46.85049563664957,-0.045186347872019667,0.2317799047386663,-0.19495369075661514,0.8454292013502911,0.872480110633262
WBGene00000060,119.34202710532486,-1.0788609899062518,0.16972369933328121,-6.356572441823376,2.0630517289832832e-10,8.572108310841069e-10
WBGene00000061,48.10541405038899,-0.9928214783950751,0.25728354062490305,-3.858861223627679,1.1391659856594656e-4,2.548316187149318e-4
WBGene00000062,188.90951197181886,-0.9466495173933026,0.12708395809975823,-7.44900876198869,9.404412657315215e-14,5.302268806746456e-13
WBGene00000064,903.3003622638884,0.9851152395959095,0.08223161706146269,11.979762466054888,4.536215417418143e-33,8.168494030811416e-32
WBGene00000066,6211.027545176726,-0.019396020944541074,0.13325922990577935,-0.14555105082218311,0.8842758121232421,0.9050840257816232
WBGene00000067,5520.909499715104,2.0397019021844596,0.07798262188253258,26.155851816022807,8.454816036580193e-151,1.7407057083312522e-148
WBGene00000068,1362.1258363448887,-0.45422781429380005,0.10324043887890423,-4.399708285108959,1.0839649338980616e-5,2.7597318277911696e-5
WBGene00000069,388.102715256462,-0.438929980543208,0.08844768770356709,-4.962594183516523,6.955781781634218e-7,2.032760169115862e-6
WBGene00000070,1267.73226006627,0.10515179159930516,0.08018475431128548,1.311368881808817,0.18973316684791386,0.2403131149464042
WBGene00000071,234.14953474143627,-1.0030905897459277,0.11646616235432655,-8.612721235668536,7.134643360068597e-18,5.4036940175921136e-17
WBGene00000072,721.0295243664242,-0.6201691512346942,0.0887121369426803,-6.990803881045103,2.7331560525654597e-12,1.3559307918610892e-11
WBGene00000073,478.75242052335295,-0.0923391876082681,0.0971008952654719,-0.9509612383677268,0.3416240530067872,0.40368107201002895
