WBGeneID,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00011083,48.88898612189479,0.16348802273265306,0.2009999047999271,0.3554306155112274,0.41747973694116114
WBGene00011087,33.21187437489474,4.121436607291285,0.45869819731813233,6.675415196951584e-20,5.8194357041596985e-19
WBGene00011088,275.3053356172654,-0.7695277881059591,0.15513912179452313,2.1860417008775658e-7,6.707444890944007e-7
WBGene00011089,1260.423891109352,-0.7531916576325342,0.11830368242697901,6.57422423750994e-11,2.850522709931916e-10
WBGene00011090,253.29278924933732,0.5689222197839702,0.149371676758018,6.828626974717299e-5,1.5761216184357772e-4
WBGene00011092,156.2856577039877,0.045798221955256686,0.12260529857480416,0.6877632335864645,0.7341807141802278
WBGene00011093,179.883394506897,0.271972600345162,0.13256238042176308,0.026880009195428354,0.041176680752867865
WBGene00011094,54.39741422234394,-0.8663417687210573,0.22122851808144922,1.8116788145299154e-5,4.484004887975965e-5
WBGene00011095,238.200337107344,-0.6710430887548149,0.13579427769504812,3.2326567884869144e-7,9.75641566288269e-7
WBGene00011097,381.43316152110197,-0.10793858589904835,0.09573939501522065,0.23208066924316761,0.2869475034692072
WBGene00011098,21.13097649578502,0.3010895408753251,0.2862700654121367,0.20108612171963403,0.2528004133525991
WBGene00011099,285.22711757214944,-0.30917622257147315,0.16575796172487034,0.04025813513669456,0.05940852267872272
WBGene00011100,270.3072573265238,-0.16036578976331123,0.12940115712270284,0.17826724124651336,0.22732891825314128
WBGene00011101,78.88262446578626,-0.28768917294770135,0.16460497834110183,0.05409215669715707,0.07772483560311519
WBGene00011102,1516.9194319078779,-2.880404698297002,0.09053410938069069,1.3224228567391928e-222,7.425404340590567e-220
WBGene00011103,35.854172306780235,-0.7629350920392447,0.2956562963463182,0.0023203432479212563,0.004267262191688445
WBGene00011105,300.3535810441572,-0.0659957536867295,0.1501313042861997,0.6300154465603525,0.6813079586238321
WBGene00011106,682.6409436242105,-0.5968665705225125,0.1512335477638385,3.7072132768238955e-5,8.816943705930994e-5
WBGene00011108,271.3376478764728,-0.7555523763467851,0.12098567940051211,1.4280450041680595e-10,6.026867077720546e-10
WBGene00011109,246.85606166185457,0.25753852079376655,0.11294713474198993,0.015142411330984056,0.02436236092363194
WBGene00011110,1205.1373290161935,0.05233173126833703,0.07888836283980714,0.4887926847139075,0.5480671720314877
WBGene00011112,39.773390066671176,2.197756308683023,0.32538729316929776,7.31576781468283e-14,4.1473923733261585e-13
WBGene00011113,17.696167828317726,-0.48018096153470996,0.39043234689938,0.09430596752651603,0.12871081834659734
WBGene00011115,760.5001192114144,0.427758791638081,0.07453487843496893,6.11928226288056e-9,2.223933327254003e-8
WBGene00011116,3697.0641583382303,0.013469185932712327,0.0780590157061712,0.8573735434014776,0.8831834040725861
WBGene00011117,78.02727795095048,0.30599635490399046,0.1716996874675483,0.04890135507374569,0.07090954797816416
WBGene00011119,303.90925710179806,-0.0600340788331387,0.10472981908704403,0.541965851115885,0.5990429633889163
WBGene00011121,43.81151416886155,-1.3045431147652966,0.2516080452081123,4.791528805326438e-9,1.7568938952863606e-8
WBGene00011122,1930.5774247534453,-0.4986902817181594,0.1403038815945037,2.0342183946150946e-4,4.3908264596680526e-4
WBGene00011123,311.6190280673329,-0.3800850052495852,0.09316785112748993,2.7657863059487592e-5,6.686969081463632e-5
WBGene00011124,41.14893629748829,0.5613638347047097,0.2730899323550327,0.016041596501296204,0.025671957712205207
WBGene00011128,7935.599873483706,0.08156088554410287,0.08179934615932839,0.2963059394896385,0.35647324410941805
