wormbase_gseq,WBGeneID,wikigene_name,status,description
T19D12.2,WBGene00020577,T19D12.2,less,down_ELT2_minus
T21H3.1,WBGene00020662,T21H3.1,less,down_ELT2_minus
T22D1.5,WBGene00020684,T22D1.5,greater,up_ELT2_minus
T23E1.1,WBGene00020728,T23E1.1,less,down_ELT2_minus
T23F4.3,WBGene00020741,dlhd-1,less,down_ELT2_minus
T24C4.1,WBGene00020757,ucr-2.3,greater,up_ELT2_minus
T24C4.4,WBGene00020760,T24C4.4,greater,up_ELT2_minus
T24C12.1,WBGene00020764,T24C12.1,greater,up_ELT2_minus
T24E12.1,WBGene00020771,T24E12.1,greater,up_ELT2_minus
T24E12.3,WBGene00020773,T24E12.3,greater,up_ELT2_minus
T24E12.5,WBGene00020774,T24E12.5,greater,up_ELT2_minus
T24E12.10,WBGene00020777,T24E12.10,greater,up_ELT2_minus
T24E12.11,WBGene00020778,T24E12.11,greater,up_ELT2_minus
T25B6.5,WBGene00020791,T25B6.5,greater,up_ELT2_minus
T25B6.6,WBGene00020792,T25B6.6,greater,up_ELT2_minus
T26A5.2,WBGene00020819,T26A5.2,greater,up_ELT2_minus
T27A1.5,WBGene00020837,slc-36.2,less,down_ELT2_minus
T27A10.6,WBGene00020846,T27A10.6,greater,up_ELT2_minus
T27C10.3,WBGene00020858,mop-25.3,greater,up_ELT2_minus
T28B4.4,WBGene00020887,hic-1,greater,up_ELT2_minus
T28D9.4,WBGene00020896,T28D9.4,greater,up_ELT2_minus
W02D7.2,WBGene00020938,clec-218,less,down_ELT2_minus
W02D7.8,WBGene00020943,W02D7.8,less,down_ELT2_minus
W02D7.11,WBGene00020946,W02D7.11,less,down_ELT2_minus
W03A5.2,WBGene00020967,W03A5.2,less,down_ELT2_minus
W03B1.2,WBGene00020972,trpl-2,greater,up_ELT2_minus
W03D2.6,WBGene00020981,,less,down_ELT2_minus
W03G9.2,WBGene00021014,pid-4,greater,up_ELT2_minus
W04B5.3,WBGene00021020,W04B5.3,greater,up_ELT2_minus
W05F2.6,WBGene00021038,W05F2.6,greater,up_ELT2_minus
W05H9.1,WBGene00021048,W05H9.1,greater,up_ELT2_minus
