WBGeneID,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00020946,185.78144107596813,5.397168024656942,1.1551928050610918,1.8302683355069282e-7,1.5046732316114853e-6
WBGene00020943,15.931014289303855,5.333966477180964,1.676948200300197,2.6465528016218332e-5,1.3228529523626572e-4
WBGene00020938,190.85926360876687,6.147781268106039,0.6659736246383694,3.9915671186112535e-21,2.037525437670189e-19
WBGene00006582,1179.9800411210745,-0.3906764038691536,0.4188989393411322,0.3019661696299299,0.4106487523610922
WBGene00235325,24.44314065183806,0.5000422576887356,0.6974675651102418,0.338503268508739,0.44970207983545574
WBGene00015592,19.22561512815865,-0.09259170792992209,0.5253111818556987,0.8357810810570161,0.8923376955646337
WBGene00003395,800.5204308495338,-1.6808931683169952,0.6533057508321258,0.0011285374746069943,0.0037197204797132836
WBGene00018181,949.6787777681775,0.3792462240858077,0.19022185312062337,0.0418842985026964,0.08411323510055513
WBGene00001664,155.09129493805762,0.5876194280883332,0.5572149878955657,0.20541379799234993,0.30266611872846955
WBGene00018694,122.86857563007054,0.6044363946021275,0.5369483486476014,0.18224040522163032,0.2752460964573453
WBGene00044696,1226.4180402480526,5.695091515501831,0.5528639369427946,1.3175197853642145e-25,1.0446527435222857e-23
WBGene00002021,1091.8952013570358,2.9965247088022187,0.6118330889979132,1.3499803383038625e-8,1.3719383789399044e-7
WBGene00001534,60.64619789741624,0.7178519841758506,0.6260909610810734,0.14899163720409095,0.23460033926893986
WBGene00018696,309.15846610785644,0.38155240252405104,0.6215158801300245,0.43970819970542324,0.5501635757288298
WBGene00018693,15.216504400399039,0.6242091264800242,0.8979510757264536,0.27372321824626605,0.3797119599473069
WBGene00018697,513.3287750641814,1.9398294691086706,0.46495440422253326,1.8065532641434548e-6,1.2002706076529462e-5
WBGene00018692,169.47821531037545,-0.8535903637130532,0.39936232881553063,0.01877709338280309,0.04294263523270633
WBGene00018698,230.31832727578882,-1.7182779644053632,0.5166431491840024,9.249065436359313e-5,4.017530648385219e-4
WBGene00004078,807.1668360173528,-2.2925942434231326,0.6279461312295948,7.70653019938056e-6,4.3820896146459533e-05
WBGene00018700,4277.613699395477,0.31541244883410313,0.22378104906907356,0.14714911183901502,0.23259149230170154
WBGene00020720,81.86873982650042,1.3870688316937163,0.7738657166814933,0.014150226238725307,0.03388937961497843
WBGene00044553,565.7513390874275,1.474829939642766,0.5219777191389497,8.68381627703308e-4,0.0029493631277942318
WBGene00020721,805.3048250328706,0.05304359444949164,0.3074891350519088,0.8556248692252508,0.9078772133209985
