WBGeneID,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00021437,34.23097082786321,-1.2274519552199221,1.0158527901662635,0.07506055993435311,0.11953975797049303
WBGene00021436,41.87032806195943,-1.3935780996904308,1.2564177749291874,0.06532911263509188,0.1066179855145894
WBGene00021439,692.8873060633136,-1.016063319840908,0.45550667769155717,0.01512152569617739,0.03109508048634687
WBGene00001063,888.6299764571082,-0.3502178109389829,0.7206292799083677,0.5455856628496032,0.6225016839817971
WBGene00021434,17.44224153056592,-0.14727177006821815,0.9475035746931149,0.8181224911791383,0.8600331232933988
WBGene00021435,63.89276100915287,0.6471045328781634,0.8840356275006548,0.3098509058352823,0.39094274225744013
WBGene00021703,36.80352590368147,2.4000964098114825,0.8712263143243387,3.0060369438350494e-4,0.0010786652208293929
WBGene00021702,1561.5081523039853,2.9568996116700976,0.3329221839981024,7.267668579397169e-21,1.7654896300184104e-19
WBGene00004088,1758.5222063762064,-0.4140071450152015,0.26446865354589283,0.1077717286928924,0.16156967100326128
WBGene00021704,129.33983884294287,-1.8038439050328894,0.6655319991100251,0.0010687015820052264,0.0032325946380560877
WBGene00021698,2181.0795182498796,-1.8900063657012822,0.3601247236947979,2.2973018477115566e-8,1.9189227198531826e-7
WBGene00021697,7073.826968220079,1.1020631750532075,0.31944425956913663,3.2069594458540503e-4,0.0011395065182948194
WBGene00016524,681.7663315162301,0.02211229676185301,0.28248231014584657,0.9356678431475717,0.9552373666643835
WBGene00189950,19.13267177959339,0.47945429484218505,0.853614516345638,0.443936717891767,0.5262819925219642
WBGene00016525,12.860800186738208,-2.025103993202838,1.4318635344214257,0.01687767190804775,0.034091456770167575
WBGene00016522,51.98866264982801,0.2403010670857927,0.7492863898345521,0.6842133871423529,0.7461714101210328
WBGene00016521,10.648932817539732,-1.9036992931604553,1.5466874389258585,0.027439363020834252,0.05143439942222861
WBGene00016527,28.038190884942956,-2.2937393847896788,0.5635939592687053,2.553074179133138e-6,1.5129238720976355e-5
WBGene00016520,1335.3479990920769,-1.5259818469073019,0.41616087922088657,7.522261668939666e-5,3.179051062468549e-4
WBGene00016528,13.315472625467777,-0.5307220899486709,1.0140735813580843,0.42080065661691624,0.5035166428953755
WBGene00016519,22.868168282907572,-0.8372568992971106,0.7972711484738311,0.17170564884962894,0.23842494755366736
WBGene00005144,10.69261775185811,-0.7892268637681178,0.8809661793985307,0.21701960829095024,0.2904254867635917
WBGene00020637,10.266187966863502,-0.45576145486782776,0.8511457675000065,0.4660747555620039,0.5475396872652302
WBGene00020638,9.493280027136445,0.3090624365072875,0.765026233857668,0.6046508836340916,0.6752929216619842
WBGene00044676,27.91099159713606,-1.8592366885926341,0.657055521294453,6.661010496153851e-4,0.0021545865386192412
WBGene00021861,49.90647571122967,-0.6618009879495461,0.8471300422822833,0.29130728665565625,0.37144651571929393
WBGene00021860,18.29515357038493,3.44368090613405,1.1269001396685756,4.457074812584831e-5,2.0051701777815397e-4
WBGene00021862,75.63552821208734,3.6603455628799457,0.8742109841039251,4.6504510375990367e-7,3.16652333074529e-6
WBGene00021859,16.94789210261642,-0.16093885100901997,0.7964504121005302,0.7909414840609276,0.8371395840243724
WBGene00021858,91.42899140815585,-4.406531438002608,1.5658070012717573,1.0071212532098808e-4,4.1159691196071004e-4
WBGene00044403,136.97035545681794,4.907544876826717,0.7233715506509966,9.641314778380568e-13,1.3106817827528675e-11
WBGene00021863,1013.0969424513246,-0.9598414053010451,0.3446798986584672,0.0034773634522060246,0.008901412180179959
WBGene00021864,72.011070499098,-0.5653262147056978,0.6281984103245567,0.28970106812112906,0.36963982062179673
WBGene00021865,33.377629329022895,-0.8189418389827074,0.7154182906218348,0.15685686548277022,0.2206505978783205
WBGene00021857,6779.288142216026,-0.47603406314115215,0.321780717540942,0.12347904855865462,0.18093263265320117
WBGene00021866,126.69214639778467,-1.1860431378476728,0.7857656619579914,0.052189835533762045,0.08813982387689082
WBGene00021867,250.31326567770594,-1.2821198346167546,0.22492886840981782,5.765369032073156e-9,5.2911318613973385e-08
WBGene00021856,2032.4831189963647,-1.1828108484338047,0.28816748425421124,2.1477005775401266e-5,1.0405422773317859e-4
WBGene00004016,1570.7775524185604,-0.3665485064555156,0.22676824026737366,0.09922325984937405,0.1510155802441306
WBGene00001589,2025.4858943122706,0.04540704001069415,0.1865639229154098,0.8051960110932825,0.8492709430756513
WBGene00019150,23.98225613886843,0.28107736835400987,0.6586478614244372,0.6094500067033657,0.6799235129424022
WBGene00019199,1278.5020952161522,-0.39320703208664015,0.24059073673027173,0.09469100536105055,0.14527782179939197
WBGene00019200,77.45988804863453,-1.1264749487082422,0.6399298219618493,0.036845005523064495,0.0659788185171687
WBGene00000506,582.6574106437282,-0.9271471956190386,0.1592455965223078,4.0740250398731515e-9,3.794649440835935e-8
WBGene00019198,293.56937510893033,-2.4356491255193573,0.5610207367195489,5.493128478064109e-7,3.6983908115241976e-6
WBGene00021021,864.0228577783837,0.577095087418036,0.1469260591803162,7.476605211623103e-5,3.16317912799439e-4
WBGene00021022,639.580000061114,-0.5313810795069136,0.19669314095968685,0.00610337558769506,0.014435906523288437
WBGene00021020,2742.526704400784,4.707103936006894,0.5424532235544576,3.675204440695838e-19,8.1892572558728935e-18
WBGene00017104,77.11403351942023,-1.7748808885277632,0.721128871041896,0.0022770634846237202,0.006186768417085147
WBGene00017103,85.02159842257831,-1.2680917198412816,0.4956658613172822,0.004528248751167232,0.011165153195458905
WBGene00003711,263.3616461345324,5.326521436250344,0.5370852386326301,5.7927623642172346e-24,1.663289487666787e-22
WBGene00017101,441.04205947031215,-1.0677664629116705,0.5120382911300566,0.020073525260153817,0.039519594726947646
WBGene00004884,4598.539640149546,-0.2763854165698052,0.21131218830871842,0.1833636972264867,0.25188118465198506
WBGene00021847,1211.9341434668677,0.30800069822479703,0.21835877271140675,0.15085585114257763,0.21367141774093787
