val,Label,Area,Mean,Min,Max,IntDen,RawIntDen,rep,gene,type,RNAi
30,220714_CEBP1gfp_ELT2rnai_worm5_PRO.tif:background:1,2500,235.475,195,288,588688,588688,4,CEBP1,background,ELT2
31,220714_CEBP1gfp_ELT2rnai_worm6_PRO.tif:intestine:1,64898,785.481,418,2552,50976174,50976174,4,CEBP1,intestine,ELT2
32,220714_CEBP1gfp_ELT2rnai_worm6_PRO.tif:background:1,2500,181.478,158,219,453695,453695,4,CEBP1,background,ELT2
33,220714_CEBP1gfp_ELT2rnai_worm6_PRO.tif:background:1,2500,170.516,150,209,426291,426291,4,CEBP1,background,ELT2
34,220714_CEBP1gfp_ELT2rnai_worm6_PRO.tif:background:1,2500,212.068,166,296,530170,530170,4,CEBP1,background,ELT2
35,220714_CEBP1gfp_ELT2rnai_worm6_PRO.tif:background:1,2500,175.524,153,214,438810,438810,4,CEBP1,background,ELT2
36,220714_CEBP1gfp_ELT2rnai_worm7_PRO.tif:intestine:1,68599,586.531,330,889,40235414,40235414,4,CEBP1,intestine,ELT2
37,220714_CEBP1gfp_ELT2rnai_worm7_PRO.tif:background:1,2500,218.279,172,316,545698,545698,4,CEBP1,background,ELT2
38,220714_CEBP1gfp_ELT2rnai_worm7_PRO.tif:background:1,2500,174.507,151,214,436267,436267,4,CEBP1,background,ELT2
39,220714_CEBP1gfp_ELT2rnai_worm7_PRO.tif:background:1,2500,161.234,141,206,403084,403084,4,CEBP1,background,ELT2
40,220714_CEBP1gfp_ELT2rnai_worm7_PRO.tif:background:1,2500,199.897,164,281,499742,499742,4,CEBP1,background,ELT2
41,220714_CEBP1gfp_ELT2rnai_worm8_PRO.tif:intestine:1,99710,505.415,229,958,50394880,50394880,4,CEBP1,intestine,ELT2
42,220714_CEBP1gfp_ELT2rnai_worm8_PRO.tif:background:1,2500,210.417,173,268,526042,526042,4,CEBP1,background,ELT2
43,220714_CEBP1gfp_ELT2rnai_worm8_PRO.tif:background:1,2500,176.402,153,228,441006,441006,4,CEBP1,background,ELT2
44,220714_CEBP1gfp_ELT2rnai_worm8_PRO.tif:background:1,2500,163.362,150,185,408404,408404,4,CEBP1,background,ELT2
45,220714_CEBP1gfp_ELT2rnai_worm8_PRO.tif:background:1,2500,150.649,134,190,376623,376623,4,CEBP1,background,ELT2
46,220714_CEBP1gfp_ELT2rnai_worm9_PRO.tif:intestine:1,77421,467.293,289,1098,36178276,36178276,4,CEBP1,intestine,ELT2
47,220714_CEBP1gfp_ELT2rnai_worm9_PRO.tif:background:1,2500,157.726,141,189,394316,394316,4,CEBP1,background,ELT2
48,220714_CEBP1gfp_ELT2rnai_worm9_PRO.tif:background:1,2500,158.51,141,182,396274,396274,4,CEBP1,background,ELT2
49,220714_CEBP1gfp_ELT2rnai_worm9_PRO.tif:background:1,2500,157.588,142,182,393971,393971,4,CEBP1,background,ELT2
50,220714_CEBP1gfp_ELT2rnai_worm9_PRO.tif:background:1,2500,168.494,147,205,421234,421234,4,CEBP1,background,ELT2
51,220714_CEBP1gfp_L4440rnai_worm10_PRO.tif:intestine:1,129945,373.762,194,597,48568565,48568565,4,CEBP1,intestine,L4440
52,220714_CEBP1gfp_L4440rnai_worm10_PRO.tif:background:1,2500,151.819,139,170,379547,379547,4,CEBP1,background,L4440
53,220714_CEBP1gfp_L4440rnai_worm10_PRO.tif:background:1,2500,138.879,130,154,347197,347197,4,CEBP1,background,L4440
54,220714_CEBP1gfp_L4440rnai_worm10_PRO.tif:background:1,2500,149.229,137,168,373073,373073,4,CEBP1,background,L4440
55,220714_CEBP1gfp_L4440rnai_worm10_PRO.tif:background:1,2500,156.308,138,190,390769,390769,4,CEBP1,background,L4440
56,220714_CEBP1gfp_L4440rnai_worm1_PRO.tif:intestine:1,113400,468.229,230,676,53097207,53097207,4,CEBP1,intestine,L4440
57,220714_CEBP1gfp_L4440rnai_worm1_PRO.tif:background:1,2500,184.603,156,237,461508,461508,4,CEBP1,background,L4440
58,220714_CEBP1gfp_L4440rnai_worm1_PRO.tif:background:1,2500,162.568,141,206,406421,406421,4,CEBP1,background,L4440
59,220714_CEBP1gfp_L4440rnai_worm1_PRO.tif:background:1,2500,176.446,161,203,441116,441116,4,CEBP1,background,L4440
60,220714_CEBP1gfp_L4440rnai_worm1_PRO.tif:background:1,2500,147.324,135,162,368311,368311,4,CEBP1,background,L4440
61,220714_CEBP1gfp_L4440rnai_worm2_PRO.tif:intestine:1,117945,354.711,200,600,41836420,41836420,4,CEBP1,intestine,L4440
62,220714_CEBP1gfp_L4440rnai_worm2_PRO.tif:background:1,2500,140.952,132,154,352380,352380,4,CEBP1,background,L4440
63,220714_CEBP1gfp_L4440rnai_worm2_PRO.tif:background:1,2500,144.02,132,166,360051,360051,4,CEBP1,background,L4440
64,220714_CEBP1gfp_L4440rnai_worm2_PRO.tif:background:1,2500,190.56,160,241,476399,476399,4,CEBP1,background,L4440
65,220714_CEBP1gfp_L4440rnai_worm2_PRO.tif:background:1,2500,172.862,150,209,432155,432155,4,CEBP1,background,L4440
66,220714_CEBP1gfp_L4440rnai_worm3_PRO.tif:intestine:1,99488,470.497,257,637,46808836,46808836,4,CEBP1,intestine,L4440
67,220714_CEBP1gfp_L4440rnai_worm3_PRO.tif:background:1,2500,151.992,139,169,379981,379981,4,CEBP1,background,L4440
68,220714_CEBP1gfp_L4440rnai_worm3_PRO.tif:background:1,2500,159.016,140,184,397539,397539,4,CEBP1,background,L4440
69,220714_CEBP1gfp_L4440rnai_worm3_PRO.tif:background:1,2500,145.961,135,163,364902,364902,4,CEBP1,background,L4440
70,220714_CEBP1gfp_L4440rnai_worm3_PRO.tif:background:1,2500,161.164,140,193,402909,402909,4,CEBP1,background,L4440
71,220714_CEBP1gfp_L4440rnai_worm4_PRO.tif:intestine:1,106557,493.261,292,683,52560451,52560451,4,CEBP1,intestine,L4440
72,220714_CEBP1gfp_L4440rnai_worm4_PRO.tif:background:1,2500,198.451,161,249,496128,496128,4,CEBP1,background,L4440
73,220714_CEBP1gfp_L4440rnai_worm4_PRO.tif:background:1,2500,171.312,152,195,428280,428280,4,CEBP1,background,L4440
74,220714_CEBP1gfp_L4440rnai_worm4_PRO.tif:background:1,2500,154.328,139,175,385819,385819,4,CEBP1,background,L4440
75,220714_CEBP1gfp_L4440rnai_worm4_PRO.tif:background:1,2500,163.41,144,196,408525,408525,4,CEBP1,background,L4440
76,220714_CEBP1gfp_L4440rnai_worm5_PRO.tif:intestine:1,100254,362.329,188,536,36324896,36324896,4,CEBP1,intestine,L4440
77,220714_CEBP1gfp_L4440rnai_worm5_PRO.tif:background:1,2500,164.12,140,202,410300,410300,4,CEBP1,background,L4440
78,220714_CEBP1gfp_L4440rnai_worm5_PRO.tif:background:1,2500,151.868,136,178,379671,379671,4,CEBP1,background,L4440
79,220714_CEBP1gfp_L4440rnai_worm5_PRO.tif:background:1,2500,159.048,140,188,397619,397619,4,CEBP1,background,L4440
80,220714_CEBP1gfp_L4440rnai_worm5_PRO.tif:background:1,2500,155.12,135,185,387799,387799,4,CEBP1,background,L4440
81,220714_CEBP1gfp_L4440rnai_worm6_PRO.tif:intestine:1,101699,367.81,217,523,37405879,37405879,4,CEBP1,intestine,L4440
82,220714_CEBP1gfp_L4440rnai_worm6_PRO.tif:background:1,2500,194.116,165,238,485290,485290,4,CEBP1,background,L4440
83,220714_CEBP1gfp_L4440rnai_worm6_PRO.tif:background:1,2500,192.764,156,260,481911,481911,4,CEBP1,background,L4440
84,220714_CEBP1gfp_L4440rnai_worm6_PRO.tif:background:1,2500,172.853,142,229,432133,432133,4,CEBP1,background,L4440
85,220714_CEBP1gfp_L4440rnai_worm6_PRO.tif:background:1,2500,158.246,139,191,395615,395615,4,CEBP1,background,L4440
86,220714_CEBP1gfp_L4440rnai_worm7_PRO.tif:intestine:1,81382,524.005,281,694,42644548,42644548,4,CEBP1,intestine,L4440
87,220714_CEBP1gfp_L4440rnai_worm7_PRO.tif:background:1,2500,178.397,151,224,445992,445992,4,CEBP1,background,L4440
88,220714_CEBP1gfp_L4440rnai_worm7_PRO.tif:background:1,2500,183.223,149,233,458058,458058,4,CEBP1,background,L4440
89,220714_CEBP1gfp_L4440rnai_worm7_PRO.tif:background:1,2500,183.626,153,242,459065,459065,4,CEBP1,background,L4440
90,220714_CEBP1gfp_L4440rnai_worm7_PRO.tif:background:1,2500,179.43,149,245,448574,448574,4,CEBP1,background,L4440
91,220714_CEBP1gfp_L4440rnai_worm8_PRO.tif:intestine:1,118818,490.507,214,669,58281043,58281043,4,CEBP1,intestine,L4440
92,220714_CEBP1gfp_L4440rnai_worm8_PRO.tif:background:1,2500,165.734,141,219,414335,414335,4,CEBP1,background,L4440
93,220714_CEBP1gfp_L4440rnai_worm8_PRO.tif:background:1,2500,184.905,151,252,462263,462263,4,CEBP1,background,L4440
94,220714_CEBP1gfp_L4440rnai_worm8_PRO.tif:background:1,2500,162.014,144,187,405035,405035,4,CEBP1,background,L4440
95,220714_CEBP1gfp_L4440rnai_worm8_PRO.tif:background:1,2500,187.919,157,244,469797,469797,4,CEBP1,background,L4440
96,220714_CEBP1gfp_L4440rnai_worm9_PRO.tif:intestine:1,69222,475.939,309,616,32945428,32945428,4,CEBP1,intestine,L4440
97,220714_CEBP1gfp_L4440rnai_worm9_PRO.tif:background:1,2500,156.479,144,174,391198,391198,4,CEBP1,background,L4440
98,220714_CEBP1gfp_L4440rnai_worm9_PRO.tif:background:1,2500,173.298,148,218,433244,433244,4,CEBP1,background,L4440
99,220714_CEBP1gfp_L4440rnai_worm9_PRO.tif:background:1,2500,152.768,136,174,381919,381919,4,CEBP1,background,L4440
100,220714_CEBP1gfp_L4440rnai_worm9_PRO.tif:background:1,2500,183.127,151,256,457817,457817,4,CEBP1,background,L4440
1,220711_ELT2gfp_ELT2rnai_worm10_PRO.tif:intestine:1,93425,340.806,218,623,31839845,31839845,2,ELT2,intestine,ELT2
2,220711_ELT2gfp_ELT2rnai_worm10_PRO.tif:background:1,2500,137.397,128,153,343493,343493,2,ELT2,background,ELT2
3,220711_ELT2gfp_ELT2rnai_worm10_PRO.tif:background:1,2500,184.133,156,226,460333,460333,2,ELT2,background,ELT2
4,220711_ELT2gfp_ELT2rnai_worm10_PRO.tif:background:1,2500,141.37,131,159,353425,353425,2,ELT2,background,ELT2
5,220711_ELT2gfp_ELT2rnai_worm10_PRO.tif:background:1,2500,167.244,145,202,418111,418111,2,ELT2,background,ELT2
6,220711_ELT2gfp_ELT2rnai_worm11_PRO.tif:intestine:1,83190,492.258,287,868,40950932,40950932,2,ELT2,intestine,ELT2
7,220711_ELT2gfp_ELT2rnai_worm11_PRO.tif:background:1,2500,173.639,155,192,434097,434097,2,ELT2,background,ELT2
8,220711_ELT2gfp_ELT2rnai_worm11_PRO.tif:background:1,2500,172.323,147,214,430808,430808,2,ELT2,background,ELT2
9,220711_ELT2gfp_ELT2rnai_worm11_PRO.tif:background:1,2500,150.568,135,167,376419,376419,2,ELT2,background,ELT2
10,220711_ELT2gfp_ELT2rnai_worm11_PRO.tif:background:1,2500,165.854,145,192,414635,414635,2,ELT2,background,ELT2
11,220711_ELT2gfp_ELT2rnai_worm12_PRO.tif:intestine:1,100315,394.02,237,1280,39526099,39526099,2,ELT2,intestine,ELT2
12,220711_ELT2gfp_ELT2rnai_worm12_PRO.tif:background:1,2500,198.322,162,255,495804,495804,2,ELT2,background,ELT2
13,220711_ELT2gfp_ELT2rnai_worm12_PRO.tif:background:1,2500,184.574,154,238,461436,461436,2,ELT2,background,ELT2
14,220711_ELT2gfp_ELT2rnai_worm12_PRO.tif:background:1,2500,195.014,164,240,487536,487536,2,ELT2,background,ELT2
15,220711_ELT2gfp_ELT2rnai_worm12_PRO.tif:background:1,2500,187.8,149,273,469500,469500,2,ELT2,background,ELT2
16,220711_ELT2gfp_ELT2rnai_worm13_PRO.tif:intestine:1,88917,377.166,224,691,33536442,33536442,2,ELT2,intestine,ELT2
17,220711_ELT2gfp_ELT2rnai_worm13_PRO.tif:background:1,2500,159.478,142,189,398695,398695,2,ELT2,background,ELT2
18,220711_ELT2gfp_ELT2rnai_worm13_PRO.tif:background:1,2500,143.231,134,163,358077,358077,2,ELT2,background,ELT2
19,220711_ELT2gfp_ELT2rnai_worm13_PRO.tif:background:1,2500,158.157,135,191,395393,395393,2,ELT2,background,ELT2
20,220711_ELT2gfp_ELT2rnai_worm13_PRO.tif:background:1,2500,201.04,163,261,502600,502600,2,ELT2,background,ELT2
21,220711_ELT2gfp_ELT2rnai_worm14_PRO.tif:intestine:1,94985,424.533,275,751,40324287,40324287,2,ELT2,intestine,ELT2
22,220711_ELT2gfp_ELT2rnai_worm14_PRO.tif:background:1,2500,162.94,142,193,407350,407350,2,ELT2,background,ELT2
23,220711_ELT2gfp_ELT2rnai_worm14_PRO.tif:background:1,2500,177.193,154,213,442982,442982,2,ELT2,background,ELT2
24,220711_ELT2gfp_ELT2rnai_worm14_PRO.tif:background:1,2500,176.03,148,210,440076,440076,2,ELT2,background,ELT2
25,220711_ELT2gfp_ELT2rnai_worm14_PRO.tif:background:1,2500,167.772,142,204,419431,419431,2,ELT2,background,ELT2
26,220711_ELT2gfp_ELT2rnai_worm15_PRO.tif:intestine:1,91288,440.647,273,1183,40225805,40225805,2,ELT2,intestine,ELT2
27,220711_ELT2gfp_ELT2rnai_worm15_PRO.tif:background:1,2500,154.302,143,168,385754,385754,2,ELT2,background,ELT2
28,220711_ELT2gfp_ELT2rnai_worm15_PRO.tif:background:1,2500,150.678,136,168,376694,376694,2,ELT2,background,ELT2
29,220711_ELT2gfp_ELT2rnai_worm15_PRO.tif:background:1,2500,171.75,148,212,429375,429375,2,ELT2,background,ELT2
30,220711_ELT2gfp_ELT2rnai_worm15_PRO.tif:background:1,2500,170.481,149,200,426203,426203,2,ELT2,background,ELT2
31,220711_ELT2gfp_ELT2rnai_worm1_PRO.tif:intestine:1,81419,375.448,261,1021,30568631,30568631,2,ELT2,intestine,ELT2
32,220711_ELT2gfp_ELT2rnai_worm1_PRO.tif:background:1,2500,192.161,164,231,480403,480403,2,ELT2,background,ELT2
33,220711_ELT2gfp_ELT2rnai_worm1_PRO.tif:background:1,2500,177.779,149,224,444447,444447,2,ELT2,background,ELT2
34,220711_ELT2gfp_ELT2rnai_worm1_PRO.tif:background:1,2500,201.812,166,247,504531,504531,2,ELT2,background,ELT2
35,220711_ELT2gfp_ELT2rnai_worm1_PRO.tif:background:1,2500,196.366,159,241,490914,490914,2,ELT2,background,ELT2
36,220711_ELT2gfp_ELT2rnai_worm4_PRO.tif:intestine:1,81163,497.618,268,701,40388163,40388163,2,ELT2,intestine,ELT2
37,220711_ELT2gfp_ELT2rnai_worm4_PRO.tif:background:1,2500,163.671,146,192,409177,409177,2,ELT2,background,ELT2
38,220711_ELT2gfp_ELT2rnai_worm4_PRO.tif:background:1,2500,151.541,137,172,378852,378852,2,ELT2,background,ELT2
39,220711_ELT2gfp_ELT2rnai_worm4_PRO.tif:background:1,2500,163.219,143,195,408048,408048,2,ELT2,background,ELT2
40,220711_ELT2gfp_ELT2rnai_worm4_PRO.tif:background:1,2500,214.403,158,701,536008,536008,2,ELT2,background,ELT2
41,220711_ELT2gfp_ELT2rnai_worm5_PRO.tif:intestine:1,92319,411.17,206,647,37958775,37958775,2,ELT2,intestine,ELT2
42,220711_ELT2gfp_ELT2rnai_worm5_PRO.tif:background:1,2500,151.329,136,176,378323,378323,2,ELT2,background,ELT2
43,220711_ELT2gfp_ELT2rnai_worm5_PRO.tif:background:1,2500,159.182,136,198,397954,397954,2,ELT2,background,ELT2
44,220711_ELT2gfp_ELT2rnai_worm5_PRO.tif:background:1,2500,142.251,132,161,355628,355628,2,ELT2,background,ELT2
45,220711_ELT2gfp_ELT2rnai_worm5_PRO.tif:background:1,2500,147.57,137,162,368925,368925,2,ELT2,background,ELT2
46,220711_ELT2gfp_ELT2rnai_worm6_PRO.tif:intestine:1,91910,414.646,254,625,38110110,38110110,2,ELT2,intestine,ELT2
47,220711_ELT2gfp_ELT2rnai_worm6_PRO.tif:background:1,2500,170.973,149,202,427433,427433,2,ELT2,background,ELT2
48,220711_ELT2gfp_ELT2rnai_worm6_PRO.tif:background:1,2500,176.417,149,221,441042,441042,2,ELT2,background,ELT2
49,220711_ELT2gfp_ELT2rnai_worm6_PRO.tif:background:1,2500,174.414,153,216,436035,436035,2,ELT2,background,ELT2
50,220711_ELT2gfp_ELT2rnai_worm6_PRO.tif:background:1,2500,174.4,147,217,436000,436000,2,ELT2,background,ELT2
51,220711_ELT2gfp_ELT2rnai_worm7_PRO.tif:intestine:1,110066,326.699,189,829,35958454,35958454,2,ELT2,intestine,ELT2
52,220711_ELT2gfp_ELT2rnai_worm7_PRO.tif:background:1,2500,162.825,140,206,407062,407062,2,ELT2,background,ELT2
53,220711_ELT2gfp_ELT2rnai_worm7_PRO.tif:background:1,2500,197.268,164,242,493169,493169,2,ELT2,background,ELT2
54,220711_ELT2gfp_ELT2rnai_worm7_PRO.tif:background:1,2500,147.334,134,168,368335,368335,2,ELT2,background,ELT2
55,220711_ELT2gfp_ELT2rnai_worm7_PRO.tif:background:1,2500,178.336,153,215,445840,445840,2,ELT2,background,ELT2
56,220711_ELT2gfp_ELT2rnai_worm8_PRO.tif:intestine:1,102698,505.831,189,785,51947781,51947781,2,ELT2,intestine,ELT2
57,220711_ELT2gfp_ELT2rnai_worm8_PRO.tif:background:1,2500,158.238,141,179,395596,395596,2,ELT2,background,ELT2
58,220711_ELT2gfp_ELT2rnai_worm8_PRO.tif:background:1,2500,162.005,143,196,405013,405013,2,ELT2,background,ELT2
59,220711_ELT2gfp_ELT2rnai_worm8_PRO.tif:background:1,2500,153.725,139,175,384313,384313,2,ELT2,background,ELT2
60,220711_ELT2gfp_ELT2rnai_worm8_PRO.tif:background:1,2500,146.144,134,162,365360,365360,2,ELT2,background,ELT2
61,220711_ELT2gfp_ELT2rnai_worm9_PRO.tif:intestine:1,103112,429.44,245,1382,44280462,44280462,2,ELT2,intestine,ELT2
62,220711_ELT2gfp_ELT2rnai_worm9_PRO.tif:background:1,2500,209.472,168,276,523680,523680,2,ELT2,background,ELT2
63,220711_ELT2gfp_ELT2rnai_worm9_PRO.tif:background:1,2500,179.429,147,235,448573,448573,2,ELT2,background,ELT2
64,220711_ELT2gfp_ELT2rnai_worm9_PRO.tif:background:1,2500,185.466,168,208,463666,463666,2,ELT2,background,ELT2
65,220711_ELT2gfp_ELT2rnai_worm9_PRO.tif:background:1,2500,157.693,142,179,394232,394232,2,ELT2,background,ELT2
66,220711_ELT2gfp_L4440rnai_worm10_PRO.tif:intestine:1,82182,475.563,215,985,39082736,39082736,2,ELT2,intestine,L4440
67,220711_ELT2gfp_L4440rnai_worm10_PRO.tif:background:1,2500,133.934,125,146,334834,334834,2,ELT2,background,L4440
68,220711_ELT2gfp_L4440rnai_worm10_PRO.tif:background:1,2500,148.502,136,169,371255,371255,2,ELT2,background,L4440
69,220711_ELT2gfp_L4440rnai_worm10_PRO.tif:background:1,2500,139.97,129,161,349925,349925,2,ELT2,background,L4440
70,220711_ELT2gfp_L4440rnai_worm10_PRO.tif:background:1,2500,144.36,129,167,360900,360900,2,ELT2,background,L4440
71,220711_ELT2gfp_L4440rnai_worm1_PRO.tif:intestine:1,104098,727.761,244,1797,75758422,75758422,2,ELT2,intestine,L4440
72,220711_ELT2gfp_L4440rnai_worm1_PRO.tif:background:1,2500,166.875,148,193,417188,417188,2,ELT2,background,L4440
73,220711_ELT2gfp_L4440rnai_worm1_PRO.tif:background:1,2500,174.726,148,230,436814,436814,2,ELT2,background,L4440
74,220711_ELT2gfp_L4440rnai_worm1_PRO.tif:background:1,2500,148.716,132,178,371790,371790,2,ELT2,background,L4440
75,220711_ELT2gfp_L4440rnai_worm1_PRO.tif:background:1,2500,188.305,155,245,470762,470762,2,ELT2,background,L4440
76,220711_ELT2gfp_L4440rnai_worm2_PRO.tif:intestine:1,110592,411.511,215,1046,45509846,45509846,2,ELT2,intestine,L4440
77,220711_ELT2gfp_L4440rnai_worm2_PRO.tif:background:1,2500,139.717,132,150,349293,349293,2,ELT2,background,L4440
78,220711_ELT2gfp_L4440rnai_worm2_PRO.tif:background:1,2500,151.857,137,170,379642,379642,2,ELT2,background,L4440
79,220711_ELT2gfp_L4440rnai_worm2_PRO.tif:background:1,2500,158.354,137,195,395885,395885,2,ELT2,background,L4440
80,220711_ELT2gfp_L4440rnai_worm2_PRO.tif:background:1,2500,150.564,136,172,376411,376411,2,ELT2,background,L4440
81,220711_ELT2gfp_L4440rnai_worm3_PRO.tif:intestine:1,109777,501.863,223,969,55092982,55092982,2,ELT2,intestine,L4440
82,220711_ELT2gfp_L4440rnai_worm3_PRO.tif:background:1,2500,170.108,143,225,425270,425270,2,ELT2,background,L4440
83,220711_ELT2gfp_L4440rnai_worm3_PRO.tif:background:1,2500,167.961,141,214,419902,419902,2,ELT2,background,L4440
84,220711_ELT2gfp_L4440rnai_worm3_PRO.tif:background:1,2500,160.923,140,210,402308,402308,2,ELT2,background,L4440
85,220711_ELT2gfp_L4440rnai_worm3_PRO.tif:background:1,2500,143.605,130,167,359012,359012,2,ELT2,background,L4440
86,220711_ELT2gfp_L4440rnai_worm4_PRO.tif:intestine:1,81673,535.525,204,1057,43737964,43737964,2,ELT2,intestine,L4440
87,220711_ELT2gfp_L4440rnai_worm4_PRO.tif:background:1,2500,151.404,138,173,378511,378511,2,ELT2,background,L4440
88,220711_ELT2gfp_L4440rnai_worm4_PRO.tif:background:1,2500,160.998,144,190,402494,402494,2,ELT2,background,L4440
89,220711_ELT2gfp_L4440rnai_worm4_PRO.tif:background:1,2500,162.138,142,200,405345,405345,2,ELT2,background,L4440
90,220711_ELT2gfp_L4440rnai_worm4_PRO.tif:background:1,2500,153.682,137,178,384204,384204,2,ELT2,background,L4440
91,220711_ELT2gfp_L4440rnai_worm5_PRO.tif:intestine:1,97745,643.37,294,1296,62886152,62886152,2,ELT2,intestine,L4440
92,220711_ELT2gfp_L4440rnai_worm5_PRO.tif:background:1,2500,154.075,140,176,385187,385187,2,ELT2,background,L4440
93,220711_ELT2gfp_L4440rnai_worm5_PRO.tif:background:1,2500,168.945,147,207,422363,422363,2,ELT2,background,L4440
94,220711_ELT2gfp_L4440rnai_worm5_PRO.tif:background:1,2500,213.442,165,289,533604,533604,2,ELT2,background,L4440
95,220711_ELT2gfp_L4440rnai_worm5_PRO.tif:background:1,2500,161.076,142,188,402691,402691,2,ELT2,background,L4440
96,220711_ELT2gfp_L4440rnai_worm6_PRO.tif:intestine:1,98673,633.122,302,1267,62472084,62472084,2,ELT2,intestine,L4440
97,220711_ELT2gfp_L4440rnai_worm6_PRO.tif:background:1,2500,190.799,157,235,476998,476998,2,ELT2,background,L4440
98,220711_ELT2gfp_L4440rnai_worm6_PRO.tif:background:1,2500,226.555,173,324,566388,566388,2,ELT2,background,L4440
99,220711_ELT2gfp_L4440rnai_worm6_PRO.tif:background:1,2500,204.416,153,319,511041,511041,2,ELT2,background,L4440
100,220711_ELT2gfp_L4440rnai_worm6_PRO.tif:background:1,2500,210.411,160,311,526028,526028,2,ELT2,background,L4440
101,220711_ELT2gfp_L4440rnai_worm7_PRO.tif:intestine:1,105714,606.028,285,1421,64065601,64065601,2,ELT2,intestine,L4440
102,220711_ELT2gfp_L4440rnai_worm7_PRO.tif:background:1,2500,146.597,134,165,366492,366492,2,ELT2,background,L4440
103,220711_ELT2gfp_L4440rnai_worm7_PRO.tif:background:1,2500,144.588,131,159,361469,361469,2,ELT2,background,L4440
104,220711_ELT2gfp_L4440rnai_worm7_PRO.tif:background:1,2500,138.744,130,153,346861,346861,2,ELT2,background,L4440
105,220711_ELT2gfp_L4440rnai_worm7_PRO.tif:background:1,2500,165.256,148,189,413141,413141,2,ELT2,background,L4440
106,220711_ELT2gfp_L4440rnai_worm8_PRO.tif:intestine:1,94009,644.425,258,1398,60581767,60581767,2,ELT2,intestine,L4440
107,220711_ELT2gfp_L4440rnai_worm8_PRO.tif:background:1,2500,137.007,128,151,342517,342517,2,ELT2,background,L4440
108,220711_ELT2gfp_L4440rnai_worm8_PRO.tif:background:1,2500,140.225,130,154,350563,350563,2,ELT2,background,L4440
109,220711_ELT2gfp_L4440rnai_worm8_PRO.tif:background:1,2500,151.116,139,166,377790,377790,2,ELT2,background,L4440
110,220711_ELT2gfp_L4440rnai_worm8_PRO.tif:background:1,2500,175.856,152,216,439640,439640,2,ELT2,background,L4440
111,220711_ELT2gfp_L4440rnai_worm9_PRO.tif:intestine:1,87434,473.082,249,1020,41363431,41363431,2,ELT2,intestine,L4440
112,220711_ELT2gfp_L4440rnai_worm9_PRO.tif:background:1,2500,156.146,145,173,390365,390365,2,ELT2,background,L4440
113,220711_ELT2gfp_L4440rnai_worm9_PRO.tif:background:1,2500,142.378,131,166,355944,355944,2,ELT2,background,L4440
114,220711_ELT2gfp_L4440rnai_worm9_PRO.tif:background:1,2500,157.187,139,188,392967,392967,2,ELT2,background,L4440
115,220711_ELT2gfp_L4440rnai_worm9_PRO.tif:background:1,2500,141.267,129,159,353168,353168,2,ELT2,background,L4440
1,220712_ELT2gfp_ELT2rnai_worm10_PRO.tif:intestine:1,95871,358.639,186,843,34383040,34383040,3,ELT2,intestine,ELT2
2,220712_ELT2gfp_ELT2rnai_worm10_PRO.tif:background:1,2500,133.681,125,144,334202,334202,3,ELT2,background,ELT2
3,220712_ELT2gfp_ELT2rnai_worm10_PRO.tif:background:1,2500,135.341,128,146,338353,338353,3,ELT2,background,ELT2
4,220712_ELT2gfp_ELT2rnai_worm10_PRO.tif:background:1,2500,153.419,138,188,383548,383548,3,ELT2,background,ELT2
5,220712_ELT2gfp_ELT2rnai_worm10_PRO.tif:background:1,2500,167.399,145,204,418497,418497,3,ELT2,background,ELT2
6,220712_ELT2gfp_ELT2rnai_worm11_PRO.tif:intestine:1,92815,270.228,151,615,25081231,25081231,3,ELT2,intestine,ELT2
7,220712_ELT2gfp_ELT2rnai_worm11_PRO.tif:background:1,2500,137.848,129,155,344619,344619,3,ELT2,background,ELT2
8,220712_ELT2gfp_ELT2rnai_worm11_PRO.tif:background:1,2500,139.623,128,156,349057,349057,3,ELT2,background,ELT2
9,220712_ELT2gfp_ELT2rnai_worm11_PRO.tif:background:1,2500,155.76,141,178,389400,389400,3,ELT2,background,ELT2
10,220712_ELT2gfp_ELT2rnai_worm11_PRO.tif:background:1,2600,148.467,135,167,386013,386013,3,ELT2,background,ELT2
11,220712_ELT2gfp_ELT2rnai_worm12_PRO.tif:intestine:1,90563,353.783,178,1801,32039633,32039633,3,ELT2,intestine,ELT2
12,220712_ELT2gfp_ELT2rnai_worm12_PRO.tif:background:1,2500,172.072,148,218,430179,430179,3,ELT2,background,ELT2
13,220712_ELT2gfp_ELT2rnai_worm12_PRO.tif:background:1,2500,161.593,144,185,403983,403983,3,ELT2,background,ELT2
14,220712_ELT2gfp_ELT2rnai_worm12_PRO.tif:background:1,2500,141.058,131,159,352644,352644,3,ELT2,background,ELT2
15,220712_ELT2gfp_ELT2rnai_worm12_PRO.tif:background:1,2500,148.094,136,171,370236,370236,3,ELT2,background,ELT2
16,220712_ELT2gfp_ELT2rnai_worm13_PRO.tif:intestine:1,103779,310.658,168,821,32239781,32239781,3,ELT2,intestine,ELT2
17,220712_ELT2gfp_ELT2rnai_worm13_PRO.tif:background:1,2500,136.933,128,148,342332,342332,3,ELT2,background,ELT2
18,220712_ELT2gfp_ELT2rnai_worm13_PRO.tif:background:1,2500,137.805,129,152,344512,344512,3,ELT2,background,ELT2
19,220712_ELT2gfp_ELT2rnai_worm13_PRO.tif:background:1,2500,147.064,134,170,367659,367659,3,ELT2,background,ELT2
