val,Label,Area,Mean,Min,Max,IntDen,RawIntDen,rep,gene,type,RNAi
9,220714_CEBP1gfp_ELT2rnai_worm1_PRO.tif:background:1,2500,171.064,151,207,427659,427659,4,CEBP1,background,ELT2
10,220714_CEBP1gfp_ELT2rnai_worm1_PRO.tif:background:1,2500,183.936,155,227,459841,459841,4,CEBP1,background,ELT2
11,220714_CEBP1gfp_ELT2rnai_worm2_PRO.tif:intestine:1,91962,384.642,205,811,35372460,35372460,4,CEBP1,intestine,ELT2
12,220714_CEBP1gfp_ELT2rnai_worm2_PRO.tif:background:1,2500,167.922,147,207,419806,419806,4,CEBP1,background,ELT2
13,220714_CEBP1gfp_ELT2rnai_worm2_PRO.tif:background:1,2500,139.265,130,153,348162,348162,4,CEBP1,background,ELT2
14,220714_CEBP1gfp_ELT2rnai_worm2_PRO.tif:background:1,2500,152.21,138,172,380524,380524,4,CEBP1,background,ELT2
15,220714_CEBP1gfp_ELT2rnai_worm2_PRO.tif:background:1,2500,145.877,133,170,364692,364692,4,CEBP1,background,ELT2
16,220714_CEBP1gfp_ELT2rnai_worm3_PRO.tif:intestine:1,87674,484.755,237,893,42500375,42500375,4,CEBP1,intestine,ELT2
17,220714_CEBP1gfp_ELT2rnai_worm3_PRO.tif:background:1,2500,145.653,135,164,364132,364132,4,CEBP1,background,ELT2
18,220714_CEBP1gfp_ELT2rnai_worm3_PRO.tif:background:1,2500,173.403,158,191,433507,433507,4,CEBP1,background,ELT2
19,220714_CEBP1gfp_ELT2rnai_worm3_PRO.tif:background:1,2500,165.614,145,202,414036,414036,4,CEBP1,background,ELT2
20,220714_CEBP1gfp_ELT2rnai_worm3_PRO.tif:background:1,2500,166.66,144,208,416651,416651,4,CEBP1,background,ELT2
21,220714_CEBP1gfp_ELT2rnai_worm4_PRO.tif:intestine:1,97343,370.144,226,1424,36030920,36030920,4,CEBP1,intestine,ELT2
