WBGeneID	embryo_GFPplus_rep1	embryo_GFPplus_rep2	embryo_GFPplus_rep3	L1_GFPplus_rep1	L1_GFPplus_rep3	L3_GFPplus_rep1	L3_GFPplus_rep2	L3_GFPplus_rep3
WBGene00021406	6.1895623561560145	7.175653190362588	6.104665077366277	7.121071274872751	5.814229711392036	5.292341356380957	6.5725770802016354	4.962836222782403
WBGene00021407	3.4323099946883557	1.4384446238436381	2.368006436889984	1.4632325140458546	1.5343986105301637	2.5204829882908064	2.0736048505363978	2.1886674610214154
WBGene00021408	3.3536344932438746	3.4877894817560273	3.110903300182353	3.764478235083647	2.378036496984862	2.921126079337519	1.5735557709781738	1.688702085685992
WBGene00021404	3.2724662494853813	3.062415001001944	3.0361684180583395	3.1971316325080874	1.8468306128636744	1.696975697941446	0.8591675236807885	1.5118809595947609
WBGene00001492	10.10207859501891	9.363948887906535	9.602088873022387	9.901204975501598	9.43738099871178	8.927905965016578	8.552900371370644	9.06333413869858
WBGene00021403	1.061610836146452	1.390667109920969	1.3471114671940465	1.0516765338100502	1.0939298570577682	1.6626460955388174	1.1125945573989253	1.1373599925056093
WBGene00015246	3.9174097050466967	2.511310852123409	2.324610954438473	5.163397738451785	4.366484900937621	2.258055955259324	2.953816170478758	1.7255113286243209
WBGene00006599	11.678498885368347	11.593201723404182	11.330396553971488	12.641369422322587	11.948158339427398	11.712000182968131	11.603775534488243	12.184461162400341
WBGene00015247	4.860549227578367	5.705821459083886	5.405153586031488	6.012848972845502	4.482347723840556	4.325561576370888	3.8478531171384427	4.045075945048226
WBGene00017928	9.603203410561843	9.284400941499852	9.481969398107967	11.014781649879788	10.64425396320986	10.182281193936198	10.100020014607017	10.12837930800241
WBGene00017929	11.205963037146923	10.882138206908552	10.858493289380911	10.867167434832792	10.753373158512117	10.793729866621446	10.568169166466298	10.49444889765469
WBGene00017926	11.860985921169998	12.056928262532873	12.11101172873678	12.704857407093947	12.72442279927701	12.591592918990473	12.831301482699793	12.787745163148069
WBGene00000897	10.997789408893837	10.885664472180007	11.106178957584968	11.076534134648	10.806746464160817	10.444143979377436	10.31371503421812	10.774549347218999
WBGene00000674	9.906550867254518	10.708142862900814	10.014528536171003	8.137573485571762	8.710713929069948	10.098912788525455	9.776564931244659	9.510893237985151
WBGene00021400	2.569077198216224	3.264160589449979	2.941446813702169	5.057760560984836	5.188599950213781	8.474610834111576	7.330569367259229	8.087605901713573
WBGene00021397	8.023227854128711	6.433282536660681	6.163506931199009	9.43387520638486	8.570830337811124	7.259629550139689	6.973252353501943	7.902635037214582
WBGene00021396	9.74879489446699	8.378806966135661	7.996526867630581	10.595913630011488	9.40202355963856	9.196111160030043	8.762159513305605	9.589282220011928
WBGene00006561	11.279302892453803	11.40359061053144	11.34958630592472	9.02643815495707	9.331080712476014	9.43285115123221	9.052083177882308	8.527610275336272
WBGene00021395	7.482988572271794	8.117841699661408	7.511418590527903	8.878012567410199	9.968006565218733	10.234689428428407	9.551670831515105	9.281673263839977
WBGene00021402	7.993411098293459	8.240264168567434	8.051841294642411	9.359625711690049	9.242378225548336	8.600876282773768	8.908309825206672	8.670504919990087
WBGene00000815	10.100138620342499	10.387061750120038	10.366508593980413	10.359545264648633	10.24465563975062	9.762885751861162	9.985790912891071	10.012560476847174
WBGene00044736	6.647978809499936	6.258520296302373	6.24166831570314	6.289672541979055	6.368294206886803	6.370504117246091	7.493129167051357	7.786623988138947
WBGene00195063	8.285771260144081	9.27404010496898	9.187769168970236	9.086375553601657	9.138219817703304	8.948765459597166	9.199886868682459	8.977539085442801
WBGene00021394	10.640016811880411	10.316709118923965	10.532999760683095	10.543410725134263	10.319502383023561	10.212403924212895	9.9299367551796	9.927144358308615
WBGene00021401	9.657452849141327	9.503168447115073	9.985935022489866	9.638048469410716	9.538158858017104	9.155998982365263	9.48934855426573	9.421254883523352
WBGene00019821	10.385683420826716	10.65382508654314	10.989679955349658	10.316870358735455	10.54470553686061	10.152962140324043	9.938810448076888	9.95378892165554
WBGene00019822	10.17522256072938	9.948906077096598	10.099935084552301	10.0964440054405	10.34995578744611	9.813639232410624	9.95068904993134	10.110806162233459
WBGene00019823	10.120168127252427	10.330007257475856	10.34409105716358	10.200215117990847	10.315263085941696	10.2945828918232	10.750183964284803	10.335662294558276
WBGene00019820	10.103351712337235	10.391425036578898	10.34657296865187	10.579104698009637	10.421475633820679	9.996998073133367	10.119217056075176	10.067665459385973
WBGene00019819	10.029976498805265	10.770736492421731	10.43308764698936	7.060226067023079	7.996626346284737	9.243211633337252	11.112804006419138	11.13729577890395
WBGene00019824	9.895421261639829	9.417512579925793	9.053402235600068	9.775441504996929	9.395212394021463	9.018466051686811	8.774885761828596	8.68641515120624
WBGene00019825	7.984441295699646	7.222900621161613	7.269022839045096	8.124360573972176	8.593797777689312	7.802278512059194	8.592633717705057	9.047597257755356
WBGene00001071	2.5220496875651337	4.4008577689487955	3.186556170052037	3.081589928115926	3.832396709587449	9.175172925586514	11.145344745048396	7.231836125766182
WBGene00020647	9.979885945370212	10.312226518769814	10.591553066405751	10.19242166110744	10.058706425277991	9.755894165328012	9.800541727891122	9.711112324161666
WBGene00003932	9.895376982528646	10.711904069439528	10.275703446475397	10.508085135764036	10.365868219978937	11.291359888127667	10.769510528371187	10.737381196556324
WBGene00020651	5.199635836404207	5.540188240465167	6.4004618405375435	5.9804282125474	6.9571317784012265	8.419372344479964	7.821123958915729	8.20377405977153
