WBGeneID,mean.rlog.counts,var.rlog.counts,type,isDE
WBGene00013761,6.247370269411052,1.953436864105697,greater,FALSE
WBGene00013761,6.247370269411052,1.953436864105697,less,FALSE
WBGene00013762,8.632162375527614,0.018999020957627434,greater,TRUE
WBGene00013762,8.632162375527614,0.018999020957627434,less,FALSE
WBGene00013764,4.755574858253996,0.40678545626125956,greater,FALSE
WBGene00013764,4.755574858253996,0.40678545626125956,less,FALSE
WBGene00013765,10.443341641484752,0.035727668594032126,greater,FALSE
WBGene00013765,10.443341641484752,0.035727668594032126,less,FALSE
WBGene00013765,10.443341641484752,0.035727668594032126,lessAbs,TRUE
WBGene00013766,13.677003514976938,0.02762548672647555,greater,FALSE
WBGene00013766,13.677003514976938,0.02762548672647555,less,FALSE
WBGene00013766,13.677003514976938,0.02762548672647555,lessAbs,FALSE
WBGene00013768,8.670245892430295,0.00398835622721939,greater,FALSE
WBGene00013768,8.670245892430295,0.00398835622721939,less,FALSE
WBGene00013768,8.670245892430295,0.00398835622721939,lessAbs,FALSE
WBGene00013771,1.2601906327820274,0.03712596930121775,less,FALSE
WBGene00013774,2.9292284016720873,0.3433636268518958,less,FALSE
WBGene00013776,4.412230458456905,0.5186812672744044,greater,FALSE
WBGene00013776,4.412230458456905,0.5186812672744044,less,FALSE
WBGene00013778,5.130470726267407,0.12354074007850716,greater,FALSE
WBGene00013778,5.130470726267407,0.12354074007850716,less,FALSE
WBGene00013779,2.8553705245816996,0.7240634126984549,greater,FALSE
WBGene00013779,2.8553705245816996,0.7240634126984549,less,FALSE
WBGene00013781,5.668085350056391,0.5564547141518764,greater,FALSE
WBGene00013781,5.668085350056391,0.5564547141518764,less,FALSE
WBGene00013782,4.51814566007466,0.32413327927450203,greater,FALSE
WBGene00013782,4.51814566007466,0.32413327927450203,less,FALSE
WBGene00013784,8.34322234504664,1.8653348669170162,greater,FALSE
WBGene00013784,8.34322234504664,1.8653348669170162,less,FALSE
WBGene00013784,8.34322234504664,1.8653348669170162,lessAbs,FALSE
WBGene00013785,1.7021733717282208,0.0022118622459647956,greater,FALSE
WBGene00013785,1.7021733717282208,0.0022118622459647956,less,FALSE
WBGene00013786,1.8172428588351481,0.05926564245402462,greater,FALSE
WBGene00013786,1.8172428588351481,0.05926564245402462,less,FALSE
WBGene00013789,8.589842870282588,0.028775949402469577,greater,FALSE
WBGene00013789,8.589842870282588,0.028775949402469577,less,FALSE
WBGene00013789,8.589842870282588,0.028775949402469577,lessAbs,TRUE
WBGene00013790,9.512849049352948,0.04245686352546386,greater,FALSE
WBGene00013790,9.512849049352948,0.04245686352546386,less,FALSE
WBGene00013790,9.512849049352948,0.04245686352546386,lessAbs,FALSE
WBGene00013792,8.656636144014387,0.026703843216697533,greater,FALSE
WBGene00013792,8.656636144014387,0.026703843216697533,less,FALSE
WBGene00013792,8.656636144014387,0.026703843216697533,lessAbs,FALSE
WBGene00013794,0.40935245351310395,0.16017270358439106,greater,FALSE
WBGene00013794,0.40935245351310395,0.16017270358439106,less,FALSE
WBGene00013796,-0.23141827942542365,0.06395834397694052,greater,FALSE
WBGene00013796,-0.23141827942542365,0.06395834397694052,less,FALSE
WBGene00013797,-0.41244339862597723,0.05678428352860472,greater,FALSE
WBGene00013797,-0.41244339862597723,0.05678428352860472,less,FALSE
WBGene00013799,2.171398801796051,1.479177844634325,greater,FALSE
WBGene00013799,2.171398801796051,1.479177844634325,less,FALSE
WBGene00013801,2.513116369516289,0.25807142990305937,greater,FALSE
WBGene00013801,2.513116369516289,0.25807142990305937,less,FALSE
WBGene00013802,6.625716286316373,0.23031918353007386,greater,FALSE
WBGene00013802,6.625716286316373,0.23031918353007386,less,FALSE
WBGene00013803,10.597654323933332,0.04460969950065244,greater,FALSE
WBGene00013803,10.597654323933332,0.04460969950065244,less,FALSE
WBGene00013803,10.597654323933332,0.04460969950065244,lessAbs,TRUE
WBGene00013804,10.288246175288275,0.03773058781880657,greater,FALSE
WBGene00013804,10.288246175288275,0.03773058781880657,less,FALSE
WBGene00013804,10.288246175288275,0.03773058781880657,lessAbs,FALSE
WBGene00013805,10.684550010319246,0.08493731011622249,greater,FALSE
WBGene00013805,10.684550010319246,0.08493731011622249,less,FALSE
WBGene00013805,10.684550010319246,0.08493731011622249,lessAbs,FALSE
WBGene00013806,7.7399697208858464,0.016818972099548482,greater,FALSE
WBGene00013806,7.7399697208858464,0.016818972099548482,less,FALSE
WBGene00013807,9.645391088272646,0.032738795200137956,greater,FALSE
WBGene00013807,9.645391088272646,0.032738795200137956,less,FALSE
WBGene00013807,9.645391088272646,0.032738795200137956,lessAbs,FALSE
WBGene00013808,11.75801557870382,0.0033819073989790477,greater,FALSE
WBGene00013808,11.75801557870382,0.0033819073989790477,less,FALSE
WBGene00013808,11.75801557870382,0.0033819073989790477,lessAbs,FALSE
WBGene00013809,5.609324610474819,0.045686053940030814,greater,FALSE
WBGene00013809,5.609324610474819,0.045686053940030814,less,FALSE
WBGene00013812,5.124948125156877,0.05272581645193632,greater,FALSE
WBGene00013812,5.124948125156877,0.05272581645193632,less,FALSE
WBGene00013814,2.4209995139616294,0.20278048554234915,greater,FALSE
WBGene00013814,2.4209995139616294,0.20278048554234915,less,FALSE
WBGene00013816,0.9186834131156573,0.042571078672886745,greater,FALSE
WBGene00013816,0.9186834131156573,0.042571078672886745,less,FALSE
WBGene00013817,1.498503493369559,0.07413202565536929,less,FALSE
WBGene00013819,6.7271062886553485,0.3911865780930354,greater,FALSE
WBGene00013819,6.7271062886553485,0.3911865780930354,less,FALSE
WBGene00013820,2.80172239507415,1.1925590719251065,greater,FALSE
WBGene00013820,2.80172239507415,1.1925590719251065,less,FALSE
WBGene00013822,5.5759958784660135,0.11649219389454664,greater,TRUE
WBGene00013822,5.5759958784660135,0.11649219389454664,less,FALSE
WBGene00013828,3.5976858681126243,0.02128268434346094,greater,FALSE
WBGene00013828,3.5976858681126243,0.02128268434346094,less,FALSE
WBGene00013829,3.001775580399944,0.0426455057443056,greater,FALSE
WBGene00013829,3.001775580399944,0.0426455057443056,less,FALSE
WBGene00013830,3.047737088040605,1.1860836799690042,greater,FALSE
WBGene00013830,3.047737088040605,1.1860836799690042,less,FALSE
WBGene00013832,3.367000458708132,0.8802231853755662,greater,FALSE
WBGene00013832,3.367000458708132,0.8802231853755662,less,FALSE
WBGene00013833,4.796406438635348,1.0427913605509933,greater,FALSE
WBGene00013833,4.796406438635348,1.0427913605509933,less,FALSE
WBGene00013835,6.364380160176031,0.9572780649484697,greater,FALSE
WBGene00013835,6.364380160176031,0.9572780649484697,less,FALSE
WBGene00013836,6.311885684249056,0.1701301418040891,greater,FALSE
WBGene00013836,6.311885684249056,0.1701301418040891,less,FALSE
WBGene00013837,4.324554126154415,0.4680626362017032,greater,TRUE
WBGene00013837,4.324554126154415,0.4680626362017032,less,FALSE
WBGene00013838,8.171186868420719,0.046229698989669825,greater,TRUE
WBGene00013838,8.171186868420719,0.046229698989669825,less,FALSE
WBGene00013839,6.150868572939326,0.07615573140341167,greater,TRUE
WBGene00013839,6.150868572939326,0.07615573140341167,less,FALSE
WBGene00013840,1.9322695932507912,1.973761863077019,greater,FALSE
