WBGeneID,promoter_status,intestine_expression,elt2_ko,stage
WBGene00001099,bound,enriched,independent,L1
WBGene00044792,bound,enriched,activated,L1
WBGene00022572,bound,enriched,NA,L1
WBGene00007867,bound,enriched,activated,L1
WBGene00016865,not_bound,enriched,repressed,L1
WBGene00000786,bound,enriched,activated,L1
WBGene00005703,not_bound,enriched,activated,L1
WBGene00022642,bound,enriched,activated,L1
WBGene00008566,not_bound,enriched,NA,L1
WBGene00189950,bound,enriched,NA,L1
WBGene00007565,not_bound,enriched,activated,L1
WBGene00050904,bound,enriched,activated,L1
WBGene00022047,not_bound,enriched,independent,L1
WBGene00007807,bound,enriched,independent,L1
WBGene00021587,bound,enriched,activated,L1
WBGene00206418,not_bound,enriched,activated,L1
WBGene00008602,bound,enriched,repressed,L1
WBGene00045411,not_bound,enriched,independent,L1
WBGene00020989,bound,enriched,NA,L1
WBGene00016061,bound,enriched,independent,L1
WBGene00044206,bound,enriched,activated,L1
WBGene00015110,not_bound,enriched,NA,L1
WBGene00002137,bound,enriched,independent,L1
WBGene00012134,not_bound,enriched,NA,L1
WBGene00008594,bound,enriched,NA,L1
WBGene00007453,not_bound,enriched,NA,L1
WBGene00007833,bound,enriched,repressed,L1
WBGene00235352,bound,enriched,activated,L1
WBGene00015593,not_bound,enriched,NA,L1
WBGene00012491,bound,enriched,independent,L1
WBGene00003572,bound,enriched,NA,L1
WBGene00022200,not_bound,enriched,NA,L1
WBGene00000084,not_bound,enriched,NA,L1
WBGene00017214,not_bound,enriched,repressed,L1
WBGene00044382,bound,enriched,activated,L1
WBGene00206413,not_bound,enriched,NA,L1
WBGene00010655,not_bound,enriched,NA,L1
WBGene00008477,not_bound,enriched,activated,L1
WBGene00045412,not_bound,enriched,independent,L1
WBGene00001819,bound,enriched,activated,L1
WBGene00020943,bound,enriched,activated,L1
WBGene00009259,bound,enriched,repressed,L1
WBGene00019261,bound,enriched,NA,L1
WBGene00010049,bound,enriched,independent,L1
WBGene00002055,bound,enriched,NA,L1
WBGene00016048,bound,enriched,NA,L1
WBGene00013875,not_bound,enriched,activated,L1
WBGene00044360,not_bound,enriched,NA,L1
WBGene00015052,bound,enriched,activated,L1
WBGene00001476,bound,enriched,independent,L1
WBGene00015369,bound,enriched,activated,L1
WBGene00000302,bound,enriched,activated,L1
WBGene00019097,bound,enriched,activated,L1
WBGene00012018,bound,enriched,independent,L1
WBGene00009852,bound,enriched,NA,L1
WBGene00015389,bound,enriched,activated,L1
WBGene00002057,bound,enriched,independent,L1
WBGene00016004,bound,enriched,NA,L1
WBGene00008730,bound,enriched,activated,L1
WBGene00015280,not_bound,enriched,repressed,L1
WBGene00011487,bound,enriched,NA,L1
WBGene00004020,bound,enriched,repressed,L1
WBGene00007946,bound,enriched,NA,L1
WBGene00009903,not_bound,enriched,NA,L1
WBGene00004990,bound,enriched,activated,L1
WBGene00004875,bound,enriched,activated,L1
WBGene00020359,bound,enriched,NA,L1
WBGene00000219,bound,enriched,repressed,L1
WBGene00015981,bound,enriched,independent,L1
WBGene00019495,not_bound,enriched,activated,L1
WBGene00022562,not_bound,enriched,NA,L1
WBGene00004878,bound,enriched,activated,L1
WBGene00007808,not_bound,enriched,independent,L1
WBGene00018885,not_bound,enriched,activated,L1
WBGene00014252,bound,enriched,activated,L1
WBGene00019779,bound,enriched,NA,L1
WBGene00018646,bound,enriched,NA,L1
WBGene00020393,bound,enriched,activated,L1
WBGene00016599,bound,enriched,NA,L1
WBGene00016719,not_bound,enriched,NA,L1
WBGene00015756,not_bound,enriched,NA,L1
WBGene00016756,not_bound,enriched,activated,L1
WBGene00008598,not_bound,enriched,activated,L1
WBGene00007393,bound,enriched,independent,L1
WBGene00007724,not_bound,enriched,NA,L1
WBGene00004993,bound,enriched,activated,L1
WBGene00009394,bound,enriched,NA,L1
WBGene00020449,bound,enriched,NA,L1
WBGene00002234,bound,enriched,independent,L1
WBGene00044761,bound,enriched,independent,L1
WBGene00016769,bound,enriched,independent,L1
WBGene00007455,bound,enriched,activated,L1
WBGene00007153,bound,enriched,independent,L1
WBGene00016219,bound,enriched,repressed,L1
WBGene00219271,not_bound,enriched,independent,L1
WBGene00000215,bound,enriched,activated,L1
WBGene00022321,bound,not_enriched,NA,L1
WBGene00044488,bound,enriched,NA,L1
WBGene00022573,bound,enriched,NA,L1
WBGene00017667,bound,enriched,NA,L1
WBGene00012013,bound,enriched,NA,L1
WBGene00010266,bound,enriched,repressed,L1
WBGene00021852,bound,enriched,activated,L1
WBGene00022870,bound,enriched,NA,L1
WBGene00013906,bound,enriched,activated,L1
WBGene00016335,bound,enriched,independent,L1
WBGene00044212,not_bound,enriched,activated,L1
WBGene00012501,not_bound,not_enriched,NA,L1
WBGene00020468,bound,enriched,NA,L1
WBGene00009857,not_bound,enriched,NA,L1
WBGene00007813,not_bound,enriched,NA,L1
WBGene00000214,bound,enriched,activated,L1
WBGene00000218,bound,enriched,activated,L1
WBGene00219322,not_bound,enriched,NA,L1
WBGene00018350,bound,enriched,NA,L1
WBGene00003689,bound,enriched,NA,L1
WBGene00008988,bound,enriched,NA,L1
WBGene00000136,bound,enriched,activated,L1
WBGene00013716,bound,enriched,independent,L1
WBGene00013257,bound,enriched,independent,L1
WBGene00014136,bound,enriched,NA,L1
WBGene00021167,bound,enriched,independent,L1
WBGene00044332,bound,enriched,NA,L1
WBGene00021262,bound,enriched,repressed,L1
WBGene00077757,bound,enriched,activated,L1
WBGene00007423,bound,enriched,NA,L1
WBGene00009396,not_bound,enriched,independent,L1
WBGene00018036,bound,enriched,NA,L1
WBGene00008634,not_bound,enriched,independent,L1
WBGene00009855,not_bound,enriched,NA,L1
WBGene00017957,bound,enriched,independent,L1
WBGene00008499,not_bound,enriched,NA,L1
WBGene00009237,bound,enriched,activated,L1
WBGene00015828,not_bound,enriched,NA,L1
WBGene00011052,not_bound,enriched,NA,L1
WBGene00011209,not_bound,enriched,activated,L1
WBGene00018195,bound,enriched,activated,L1
WBGene00019619,not_bound,enriched,activated,L1
WBGene00015598,not_bound,enriched,repressed,L1
WBGene00009008,bound,enriched,NA,L1
WBGene00003786,bound,enriched,independent,L1
WBGene00015605,not_bound,enriched,independent,L1
WBGene00008936,bound,enriched,activated,L1
WBGene00008621,bound,enriched,NA,L1
WBGene00018384,bound,enriched,activated,L1
WBGene00007336,bound,enriched,activated,L1
WBGene00017625,bound,enriched,NA,L1
WBGene00022337,not_bound,enriched,NA,L1
WBGene00007695,not_bound,enriched,independent,L1
WBGene00018200,bound,enriched,activated,L1
WBGene00012529,bound,enriched,independent,L1
WBGene00009835,bound,enriched,NA,L1
WBGene00022873,bound,enriched,NA,L1
WBGene00010041,bound,enriched,NA,L1
WBGene00011803,bound,enriched,activated,L1
WBGene00045461,not_bound,enriched,NA,L1
WBGene00020256,bound,enriched,independent,L1
WBGene00012253,bound,enriched,activated,L1
WBGene00014063,bound,enriched,NA,L1
WBGene00015279,bound,enriched,activated,L1
WBGene00044759,not_bound,enriched,NA,L1
WBGene00017592,bound,enriched,repressed,L1
WBGene00016052,bound,enriched,activated,L1
WBGene00008850,not_bound,enriched,repressed,L1
WBGene00016339,not_bound,enriched,NA,L1
WBGene00017257,bound,enriched,NA,L1
WBGene00021048,bound,enriched,repressed,L1
WBGene00005003,bound,enriched,independent,L1
WBGene00017398,not_bound,enriched,NA,L1
WBGene00013901,bound,enriched,NA,L1
WBGene00022474,bound,enriched,activated,L1
WBGene00013608,not_bound,enriched,repressed,L1
WBGene00012729,bound,enriched,NA,L1
WBGene00014135,not_bound,enriched,NA,L1
WBGene00015768,bound,enriched,NA,L1
WBGene00018210,not_bound,enriched,independent,L1
WBGene00019846,not_bound,enriched,NA,L1
WBGene00010128,bound,enriched,activated,L1
WBGene00011801,bound,enriched,independent,L1
WBGene00010901,not_bound,enriched,repressed,L1
WBGene00011798,bound,enriched,activated,L1
WBGene00010822,bound,enriched,repressed,L1
WBGene00077770,not_bound,enriched,repressed,L1
WBGene00015933,bound,enriched,activated,L1
WBGene00000782,not_bound,enriched,activated,L1
WBGene00012308,bound,enriched,NA,L1
WBGene00018174,bound,enriched,repressed,L1
WBGene00013037,bound,enriched,activated,L1
WBGene00012728,bound,enriched,NA,L1
WBGene00016721,bound,enriched,NA,L1
WBGene00004988,bound,enriched,NA,L1
WBGene00011893,bound,enriched,activated,L1
WBGene00010749,bound,enriched,NA,L1
WBGene00015609,not_bound,enriched,activated,L1
WBGene00021261,not_bound,enriched,NA,L1
WBGene00008493,not_bound,enriched,NA,L1
WBGene00018435,bound,enriched,NA,L1
WBGene00017091,bound,enriched,independent,L1
WBGene00013439,not_bound,enriched,activated,L1
WBGene00011668,not_bound,enriched,activated,L1
WBGene00011166,not_bound,enriched,activated,L1
WBGene00013035,not_bound,enriched,activated,L1
WBGene00017678,bound,enriched,repressed,L1
WBGene00020774,bound,enriched,repressed,L1
WBGene00021768,bound,enriched,repressed,L1
WBGene00022644,bound,enriched,repressed,L1
WBGene00007973,bound,enriched,activated,L1
WBGene00019225,bound,enriched,independent,L1
WBGene00001243,bound,enriched,NA,L1
WBGene00009895,bound,enriched,activated,L1
WBGene00008341,bound,enriched,NA,L1
WBGene00006429,bound,not_enriched,NA,L1
WBGene00044807,bound,enriched,NA,L1
WBGene00009805,not_bound,enriched,NA,L1
WBGene00044381,bound,enriched,NA,L1
WBGene00000009,bound,enriched,NA,L1
WBGene00194687,not_bound,enriched,repressed,L1
WBGene00013996,bound,enriched,independent,L1
WBGene00022353,not_bound,enriched,independent,L1
WBGene00044707,not_bound,enriched,NA,L1
WBGene00004058,bound,enriched,repressed,L1
WBGene00000067,bound,enriched,repressed,L1
WBGene00044696,bound,enriched,activated,L1
WBGene00021860,bound,enriched,NA,L1
WBGene00012028,not_bound,enriched,repressed,L1
WBGene00002058,bound,enriched,independent,L1
WBGene00008091,not_bound,enriched,repressed,L1
WBGene00008462,not_bound,enriched,independent,L1
WBGene00011130,not_bound,enriched,repressed,L1
WBGene00010050,not_bound,enriched,activated,L1
WBGene00017905,bound,enriched,independent,L1
WBGene00013900,bound,enriched,NA,L1
WBGene00006636,not_bound,enriched,independent,L1
WBGene00012531,bound,enriched,independent,L1
WBGene00013101,not_bound,enriched,NA,L1
WBGene00008607,bound,enriched,independent,L1
WBGene00017578,not_bound,enriched,activated,L1
WBGene00007811,bound,enriched,activated,L1
WBGene00017591,bound,enriched,independent,L1
WBGene00007716,not_bound,enriched,NA,L1
WBGene00005931,not_bound,enriched,NA,L1
WBGene00020182,bound,enriched,NA,L1
WBGene00023432,bound,enriched,NA,L1
WBGene00009395,not_bound,enriched,NA,L1
WBGene00000081,bound,enriched,activated,L1
WBGene00007866,not_bound,enriched,activated,L1
WBGene00020080,bound,enriched,NA,L1
WBGene00010747,bound,enriched,repressed,L1
WBGene00013976,bound,enriched,activated,L1
WBGene00008593,not_bound,enriched,NA,L1
WBGene00000539,bound,enriched,NA,L1
WBGene00015220,bound,enriched,repressed,L1
WBGene00015085,bound,enriched,NA,L1
WBGene00008101,not_bound,enriched,repressed,L1
WBGene00012834,bound,enriched,activated,L1
WBGene00013908,bound,not_enriched,NA,L1
WBGene00019368,bound,enriched,activated,L1
WBGene00010277,not_bound,enriched,NA,L1
WBGene00021252,not_bound,not_enriched,NA,L1
WBGene00008495,bound,enriched,NA,L1
WBGene00008567,not_bound,enriched,activated,L1
WBGene00016164,not_bound,enriched,repressed,L1
WBGene00022610,bound,enriched,NA,L1
WBGene00044776,not_bound,enriched,NA,L1
WBGene00018874,bound,enriched,independent,L1
WBGene00022497,bound,enriched,repressed,L1
WBGene00015913,bound,enriched,repressed,L1
WBGene00021814,bound,enriched,NA,L1
WBGene00021325,not_bound,enriched,independent,L1
WBGene00021336,not_bound,enriched,activated,L1
WBGene00013091,bound,enriched,NA,L1
WBGene00020516,not_bound,enriched,activated,L1
WBGene00044469,not_bound,enriched,activated,L1
WBGene00044120,bound,enriched,activated,L1
WBGene00015284,bound,enriched,NA,L1
WBGene00011076,bound,enriched,activated,L1
WBGene00019914,bound,enriched,NA,L1
WBGene00019404,not_bound,enriched,NA,L1
WBGene00004999,bound,enriched,activated,L1
WBGene00022555,not_bound,enriched,NA,L1
WBGene00008483,not_bound,enriched,NA,L1
WBGene00012070,bound,enriched,NA,L1
WBGene00010204,bound,enriched,independent,L1
WBGene00020329,not_bound,enriched,NA,L1
WBGene00019145,not_bound,enriched,NA,L1
WBGene00016577,not_bound,enriched,NA,L1
WBGene00015602,bound,enriched,NA,L1
WBGene00020946,bound,enriched,activated,L1
WBGene00015956,bound,enriched,repressed,L1
WBGene00018342,bound,enriched,activated,L1
WBGene00001506,bound,enriched,repressed,L1
WBGene00008229,bound,enriched,NA,L1
WBGene00009595,bound,enriched,repressed,L1
WBGene00007685,bound,enriched,repressed,L1
WBGene00014138,bound,enriched,NA,L1
WBGene00016027,bound,enriched,NA,L1
WBGene00015713,not_bound,enriched,repressed,L1
WBGene00044723,not_bound,enriched,NA,L1
WBGene00015469,bound,enriched,activated,L1
WBGene00010034,not_bound,enriched,activated,L1
WBGene00015601,not_bound,enriched,NA,L1
WBGene00003711,bound,enriched,NA,L1
WBGene00018237,bound,enriched,independent,L1
WBGene00019674,bound,enriched,activated,L1
WBGene00008542,bound,enriched,activated,L1
WBGene00011494,not_bound,enriched,NA,L1
WBGene00021148,not_bound,enriched,independent,L1
WBGene00018971,bound,enriched,independent,L1
WBGene00011397,not_bound,enriched,independent,L1
WBGene00006965,bound,enriched,independent,L1
WBGene00010125,bound,enriched,activated,L1
WBGene00011190,not_bound,enriched,NA,L1
WBGene00016556,not_bound,enriched,NA,L1
WBGene00007904,bound,enriched,activated,L1
WBGene00008830,bound,enriched,NA,L1
WBGene00003410,not_bound,enriched,NA,L1
WBGene00004796,bound,enriched,independent,L1
WBGene00015381,bound,enriched,independent,L1
WBGene00016217,bound,enriched,activated,L1
WBGene00019682,bound,enriched,NA,L1
WBGene00020128,bound,enriched,repressed,L1
WBGene00007431,not_bound,enriched,independent,L1
WBGene00017226,not_bound,enriched,activated,L1
WBGene00001468,bound,enriched,independent,L1
WBGene00000213,bound,enriched,activated,L1
WBGene00009397,not_bound,enriched,NA,L1
WBGene00003094,not_bound,enriched,NA,L1
WBGene00007728,not_bound,enriched,NA,L1
WBGene00020016,not_bound,enriched,activated,L1
WBGene00010215,bound,enriched,independent,L1
WBGene00015930,bound,enriched,NA,L1
WBGene00021503,bound,enriched,activated,L1
WBGene00019068,bound,enriched,NA,L1
WBGene00014253,not_bound,enriched,activated,L1
WBGene00044296,bound,enriched,activated,L1
WBGene00010062,not_bound,enriched,independent,L1
WBGene00015600,not_bound,not_enriched,NA,L1
WBGene00007726,bound,enriched,NA,L1
WBGene00007875,not_bound,enriched,activated,L1
WBGene00010657,bound,enriched,NA,L1
WBGene00018280,bound,enriched,NA,L1
WBGene00011445,bound,enriched,NA,L1
WBGene00019421,bound,enriched,activated,L1
WBGene00015839,bound,not_enriched,NA,L1
WBGene00013119,bound,enriched,independent,L1
WBGene00016431,bound,enriched,activated,L1
WBGene00008451,bound,enriched,NA,L1
WBGene00020662,bound,enriched,activated,L1
WBGene00044221,not_bound,enriched,independent,L1
WBGene00008044,not_bound,enriched,activated,L1
WBGene00008167,bound,enriched,repressed,L1
WBGene00004096,bound,enriched,repressed,L1
WBGene00021060,bound,enriched,activated,L1
WBGene00022076,bound,enriched,independent,L1
WBGene00012518,bound,enriched,repressed,L1
WBGene00007228,bound,enriched,NA,L1
WBGene00007857,bound,enriched,NA,L1
WBGene00009061,bound,enriched,repressed,L1
WBGene00012664,bound,enriched,repressed,L1
WBGene00021322,bound,enriched,repressed,L1
WBGene00020472,bound,enriched,repressed,L1
WBGene00003828,bound,enriched,activated,L1
WBGene00002118,bound,enriched,activated,L1
WBGene00019590,bound,enriched,activated,L1
WBGene00019058,not_bound,enriched,independent,L1
WBGene00003090,bound,enriched,activated,L1
WBGene00010545,not_bound,enriched,repressed,L1
WBGene00012961,not_bound,enriched,repressed,L1
WBGene00206354,bound,enriched,repressed,L1
WBGene00011979,not_bound,enriched,NA,L1
WBGene00001814,bound,enriched,activated,L1
WBGene00020326,bound,enriched,NA,L1
WBGene00013118,not_bound,enriched,independent,L1
WBGene00019978,bound,enriched,NA,L1
WBGene00010904,bound,enriched,independent,L1
WBGene00021408,not_bound,not_enriched,NA,L1
WBGene00021565,not_bound,enriched,NA,L1
WBGene00019550,bound,enriched,NA,L1
WBGene00016757,bound,enriched,NA,L1
WBGene00001922,not_bound,enriched,NA,L1
WBGene00003093,bound,enriched,activated,L1
WBGene00012699,bound,enriched,NA,L1
WBGene00236809,not_bound,enriched,activated,L1
WBGene00007948,not_bound,enriched,NA,L1
WBGene00015087,bound,enriched,NA,L1
WBGene00008891,bound,enriched,repressed,L1
WBGene00001500,bound,enriched,independent,L1
WBGene00007185,bound,enriched,independent,L1
WBGene00014046,not_bound,enriched,NA,L1
WBGene00013541,not_bound,enriched,independent,L1
WBGene00018353,bound,enriched,repressed,L1
WBGene00008741,bound,enriched,NA,L1
WBGene00009518,not_bound,enriched,NA,L1
WBGene00008944,bound,enriched,repressed,L1
WBGene00010769,bound,enriched,NA,L1
WBGene00007322,not_bound,enriched,repressed,L1
WBGene00017071,bound,enriched,activated,L1
WBGene00007691,not_bound,enriched,repressed,L1
WBGene00008560,not_bound,enriched,repressed,L1
WBGene00008239,bound,enriched,NA,L1
WBGene00013904,not_bound,enriched,independent,L1
WBGene00023483,not_bound,enriched,repressed,L1
WBGene00008319,bound,enriched,repressed,L1
WBGene00007341,not_bound,enriched,activated,L1
WBGene00011222,bound,enriched,activated,L1
WBGene00008954,bound,enriched,NA,L1
WBGene00022866,bound,enriched,NA,L1
WBGene00017434,bound,enriched,independent,L1
WBGene00271817,bound,enriched,NA,L1
WBGene00010900,not_bound,not_enriched,NA,L1
WBGene00008200,bound,enriched,NA,L1
WBGene00003607,bound,enriched,independent,L1
WBGene00009908,bound,enriched,activated,L1
WBGene00016870,not_bound,not_enriched,NA,L1
WBGene00015399,not_bound,enriched,NA,L1
WBGene00015906,not_bound,enriched,NA,L1
WBGene00003091,bound,enriched,NA,L1
WBGene00003571,bound,enriched,NA,L1
WBGene00195176,not_bound,enriched,independent,L1
WBGene00018951,bound,enriched,independent,L1
WBGene00017322,not_bound,enriched,NA,L1
WBGene00011439,not_bound,enriched,independent,L1
WBGene00007097,not_bound,enriched,repressed,L1
WBGene00008494,bound,enriched,NA,L1
WBGene00010899,bound,enriched,repressed,L1
WBGene00010793,bound,enriched,independent,L1
WBGene00022571,bound,enriched,NA,L1
WBGene00009515,bound,enriched,NA,L1
WBGene00018760,bound,enriched,activated,L1
WBGene00015081,not_bound,enriched,repressed,L1
WBGene00020837,bound,enriched,activated,L1
WBGene00016425,bound,enriched,repressed,L1
WBGene00015080,not_bound,enriched,repressed,L1
WBGene00010123,bound,enriched,NA,L1
WBGene00008597,bound,enriched,NA,L1
WBGene00016845,bound,enriched,NA,L1
WBGene00044107,bound,enriched,NA,L1
WBGene00019022,bound,enriched,NA,L1
WBGene00008199,bound,enriched,repressed,L1
WBGene00015739,bound,enriched,NA,L1
WBGene00018708,bound,enriched,NA,L1
WBGene00015949,not_bound,enriched,independent,L1
WBGene00004789,bound,enriched,independent,L1
WBGene00007656,bound,enriched,repressed,L1
WBGene00022645,bound,enriched,repressed,L1
WBGene00010745,bound,enriched,activated,L1
WBGene00018343,bound,enriched,independent,L1
WBGene00003773,bound,enriched,independent,L1
WBGene00004986,bound,enriched,activated,L1
WBGene00005551,bound,not_enriched,NA,L1
WBGene00020760,not_bound,enriched,repressed,L1
WBGene00009192,bound,enriched,NA,L1
WBGene00044211,bound,enriched,NA,L1
WBGene00008492,bound,enriched,NA,L1
WBGene00011083,bound,enriched,independent,L1
WBGene00007945,not_bound,enriched,NA,L1
WBGene00009796,bound,enriched,independent,L1
WBGene00021872,not_bound,enriched,NA,L1
WBGene00016877,not_bound,enriched,NA,L1
WBGene00015889,bound,enriched,NA,L1
WBGene00006533,bound,enriched,repressed,L1
WBGene00195164,not_bound,enriched,NA,L1
WBGene00013822,bound,enriched,NA,L1
WBGene00022261,not_bound,enriched,independent,L1
WBGene00045252,bound,enriched,NA,L1
WBGene00022412,bound,enriched,NA,L1
WBGene00019803,bound,enriched,independent,L1
WBGene00008584,bound,enriched,NA,L1
WBGene00012467,bound,enriched,repressed,L1
WBGene00015595,not_bound,enriched,NA,L1
WBGene00011856,not_bound,enriched,NA,L1
WBGene00009905,bound,not_enriched,NA,L1
WBGene00010658,bound,enriched,independent,L1
WBGene00021253,not_bound,enriched,independent,L1
WBGene00015859,bound,enriched,NA,L1
WBGene00044481,not_bound,enriched,NA,L1
WBGene00194695,not_bound,enriched,NA,L1
WBGene00007112,bound,enriched,activated,L1
WBGene00009841,bound,not_enriched,NA,L1
WBGene00010746,bound,enriched,NA,L1
WBGene00003096,bound,enriched,activated,L1
WBGene00008654,bound,enriched,independent,L1
WBGene00008425,bound,enriched,activated,L1
WBGene00018138,bound,enriched,NA,L1
WBGene00045052,bound,enriched,activated,L1
WBGene00015599,not_bound,not_enriched,NA,L1
