WBGeneID,altHyp,intestine_expression
WBGene00016585,greater,enriched
WBGene00019579,greater,enriched
WBGene00004492,greater,enriched
WBGene00008583,greater,enriched
WBGene00009957,greater,enriched
WBGene00000841,greater,enriched
WBGene00003995,greater,enriched
WBGene00007779,greater,enriched
WBGene00206520,greater,enriched
WBGene00004030,greater,enriched
WBGene00014137,greater,enriched
WBGene00014132,greater,enriched
WBGene00014136,greater,enriched
WBGene00014135,greater,enriched
WBGene00010660,greater,enriched
WBGene00010655,greater,enriched
WBGene00185092,greater,enriched
WBGene00010657,greater,enriched
WBGene00010658,greater,enriched
WBGene00010659,greater,enriched
WBGene00007867,greater,enriched
WBGene00010127,greater,enriched
WBGene00010128,greater,enriched
WBGene00010125,greater,enriched
WBGene00010123,greater,enriched
WBGene00010124,greater,enriched
WBGene00010745,greater,enriched
WBGene00010746,greater,enriched
WBGene00010747,greater,enriched
WBGene00010750,greater,enriched
WBGene00009895,greater,enriched
WBGene00008178,greater,enriched
WBGene00001394,greater,enriched
WBGene00044280,greater,enriched
WBGene00013379,greater,enriched
WBGene00007460,greater,enriched
WBGene00007453,greater,enriched
WBGene00007455,greater,enriched
WBGene00007456,greater,enriched
WBGene00012536,greater,enriched
WBGene00012538,greater,enriched
WBGene00010083,greater,enriched
WBGene00010086,greater,enriched
WBGene00010793,greater,enriched
WBGene00013295,greater,enriched
WBGene00007058,greater,enriched
WBGene00001330,greater,enriched
WBGene00013643,greater,enriched
WBGene00013646,greater,enriched
WBGene00001604,greater,enriched
WBGene00013104,greater,enriched
WBGene00013119,greater,enriched
WBGene00013118,greater,enriched
WBGene00016877,greater,enriched
WBGene00000711,greater,enriched
WBGene00013996,greater,enriched
WBGene00014000,greater,enriched
WBGene00012134,greater,enriched
WBGene00008194,greater,enriched
WBGene00008200,greater,enriched
WBGene00008199,greater,enriched
WBGene00004061,greater,enriched
WBGene00007358,greater,enriched
WBGene00008706,greater,enriched
WBGene00008352,greater,enriched
WBGene00019183,greater,enriched
WBGene00003670,greater,enriched
WBGene00019182,greater,enriched
WBGene00016219,greater,enriched
WBGene00016218,greater,enriched
WBGene00016217,greater,enriched
WBGene00000081,greater,enriched
WBGene00002269,greater,enriched
WBGene00000882,greater,enriched
WBGene00019329,greater,enriched
WBGene00020760,greater,enriched
WBGene00020455,greater,enriched
WBGene00020456,greater,enriched
WBGene00020449,greater,enriched
WBGene00021339,greater,enriched
WBGene00021340,greater,enriched
WBGene00022497,greater,enriched
WBGene00003978,greater,enriched
WBGene00022485,greater,enriched
WBGene00013839,greater,enriched
WBGene00013838,greater,enriched
WBGene00013836,greater,enriched
WBGene00022329,greater,enriched
WBGene00022330,greater,enriched
WBGene00022331,greater,enriched
WBGene00022327,greater,enriched
WBGene00022326,greater,enriched
WBGene00022338,greater,enriched
WBGene00022346,greater,enriched
WBGene00022337,greater,enriched
WBGene00044761,greater,enriched
WBGene00022353,greater,enriched
WBGene00002025,greater,enriched
WBGene00021252,greater,enriched
WBGene00021253,greater,enriched
WBGene00021260,greater,enriched
WBGene00004491,greater,enriched
WBGene00021702,greater,enriched
WBGene00021860,greater,enriched
WBGene00021862,greater,enriched
WBGene00044403,greater,enriched
WBGene00021020,greater,enriched
WBGene00003711,greater,enriched
WBGene00021852,greater,enriched
WBGene00022196,greater,enriched
WBGene00003941,greater,enriched
WBGene00022178,greater,enriched
WBGene00022179,greater,enriched
WBGene00022181,greater,enriched
WBGene00019261,greater,enriched
WBGene00006725,greater,enriched
WBGene00021820,greater,enriched
WBGene00021817,greater,enriched
WBGene00021814,greater,enriched
WBGene00001559,greater,enriched
WBGene00007928,greater,enriched
WBGene00010811,greater,enriched
WBGene00044166,greater,enriched
WBGene00003605,greater,enriched
WBGene00008117,greater,enriched
WBGene00008091,greater,enriched
WBGene00007963,greater,enriched
WBGene00007964,greater,enriched
WBGene00014697,greater,enriched
WBGene00004414,greater,enriched
WBGene00011215,greater,enriched
WBGene00002038,greater,enriched
WBGene00007630,greater,enriched
WBGene00009649,greater,enriched
WBGene00007131,greater,enriched
WBGene00003577,greater,enriched
WBGene00010904,greater,enriched
WBGene00008654,greater,enriched
WBGene00011407,greater,enriched
WBGene00004469,greater,enriched
WBGene00016450,greater,enriched
WBGene00017826,greater,enriched
WBGene00004400,greater,enriched
WBGene00016677,greater,enriched
WBGene00000107,greater,enriched
WBGene00006946,greater,enriched
WBGene00000973,greater,enriched
WBGene00017027,greater,enriched
WBGene00017302,greater,enriched
WBGene00015469,greater,enriched
WBGene00000239,greater,enriched
WBGene00271715,greater,enriched
WBGene00015085,greater,enriched
WBGene00015081,greater,enriched
WBGene00017163,greater,enriched
WBGene00017776,greater,enriched
WBGene00017777,greater,enriched
WBGene00015479,greater,enriched
WBGene00021535,greater,enriched
WBGene00021531,greater,enriched
WBGene00018342,greater,enriched
WBGene00018343,greater,enriched
WBGene00020443,greater,enriched
WBGene00018562,greater,enriched
WBGene00002891,greater,enriched
WBGene00004482,greater,enriched
WBGene00003214,greater,enriched
WBGene00021503,greater,enriched
WBGene00017905,greater,enriched
WBGene00005712,greater,enriched
WBGene00006971,greater,enriched
WBGene00004857,greater,enriched
WBGene00018997,greater,enriched
WBGene00022736,greater,enriched
WBGene00003845,greater,enriched
WBGene00015100,greater,enriched
WBGene00015107,greater,enriched
WBGene00004483,greater,enriched
WBGene00018951,greater,enriched
WBGene00017272,greater,enriched
WBGene00000118,greater,enriched
WBGene00022102,greater,enriched
WBGene00003956,greater,enriched
WBGene00000041,greater,enriched
WBGene00019682,greater,enriched
WBGene00006628,greater,enriched
WBGene00006627,greater,enriched
WBGene00017322,greater,enriched
WBGene00018370,greater,enriched
WBGene00043097,greater,enriched
WBGene00017698,greater,enriched
WBGene00015125,greater,enriched
WBGene00004201,greater,enriched
WBGene00011147,greater,enriched
WBGene00010307,greater,enriched
WBGene00010308,greater,enriched
WBGene00010315,greater,enriched
WBGene00001749,greater,enriched
WBGene00010795,greater,enriched
WBGene00008044,greater,enriched
WBGene00000799,greater,enriched
WBGene00007185,greater,enriched
WBGene00008167,greater,enriched
WBGene00003572,greater,enriched
WBGene00001155,greater,enriched
WBGene00043995,greater,enriched
WBGene00009595,greater,enriched
WBGene00010545,greater,enriched
WBGene00010540,greater,enriched
WBGene00007322,greater,enriched
WBGene00011803,greater,enriched
WBGene00011809,greater,enriched
WBGene00269433,greater,enriched
WBGene00014233,greater,enriched
WBGene00011870,greater,enriched
WBGene00008019,greater,enriched
WBGene00001993,greater,enriched
WBGene00012860,greater,enriched
WBGene00010772,greater,enriched
WBGene00012970,greater,enriched
WBGene00012930,greater,enriched
WBGene00012127,greater,enriched
WBGene00006533,greater,enriched
WBGene00013439,greater,enriched
WBGene00013426,greater,enriched
WBGene00007680,greater,enriched
WBGene00013227,greater,enriched
WBGene00013540,greater,enriched
WBGene00013541,greater,enriched
WBGene00013559,greater,enriched
WBGene00013560,greater,enriched
WBGene00006986,greater,enriched
WBGene00004027,greater,enriched
WBGene00012554,greater,enriched
WBGene00006728,greater,enriched
WBGene00014181,greater,enriched
WBGene00008810,greater,enriched
WBGene00000267,greater,enriched
WBGene00001630,greater,enriched
WBGene00009952,greater,enriched
WBGene00011399,greater,enriched
WBGene00008719,greater,enriched
WBGene00013575,greater,enriched
WBGene00000067,greater,enriched
WBGene00011733,greater,enriched
WBGene00000179,greater,enriched
WBGene00004796,greater,enriched
WBGene00012306,greater,enriched
WBGene00010665,greater,enriched
WBGene00020082,greater,enriched
WBGene00022861,greater,enriched
WBGene00018683,greater,enriched
WBGene00015139,greater,enriched
WBGene00015141,greater,enriched
WBGene00019014,greater,enriched
WBGene00194687,greater,enriched
WBGene00002056,greater,enriched
WBGene00020574,greater,enriched
WBGene00021185,greater,enriched
WBGene00017781,greater,enriched
WBGene00002058,greater,enriched
WBGene00018984,greater,enriched
WBGene00018779,greater,enriched
WBGene00018860,greater,enriched
WBGene00015476,greater,enriched
WBGene00015471,greater,enriched
WBGene00020128,greater,enriched
WBGene00016874,greater,enriched
WBGene00003965,greater,enriched
WBGene00017667,greater,enriched
WBGene00018939,greater,enriched
WBGene00019435,greater,enriched
WBGene00019146,greater,enriched
WBGene00017226,greater,enriched
WBGene00022413,greater,enriched
WBGene00022412,greater,enriched
WBGene00020765,greater,enriched
WBGene00020509,greater,enriched
WBGene00004423,greater,enriched
WBGene00020135,greater,enriched
WBGene00018715,greater,enriched
WBGene00018718,greater,enriched
WBGene00206381,greater,enriched
WBGene00020158,greater,enriched
WBGene00022200,greater,enriched
WBGene00019738,greater,enriched
WBGene00019736,greater,enriched
WBGene00019612,greater,enriched
WBGene00015791,greater,enriched
WBGene00015793,greater,enriched
WBGene00002217,greater,enriched
WBGene00017892,greater,enriched
WBGene00018237,greater,enriched
WBGene00006535,greater,enriched
WBGene00019550,greater,enriched
WBGene00017380,greater,enriched
WBGene00015713,greater,enriched
WBGene00015956,greater,enriched
WBGene00006454,greater,enriched
WBGene00001441,greater,enriched
WBGene00022515,greater,enriched
WBGene00015823,greater,enriched
WBGene00019830,greater,enriched
WBGene00017306,greater,enriched
WBGene00006921,greater,enriched
WBGene00018602,greater,enriched
WBGene00016866,greater,enriched
WBGene00016865,greater,enriched
WBGene00016870,greater,enriched
WBGene00003907,greater,enriched
