WBGeneID,altHyp,intestine_expression
WBGene00010659,greater,enriched
WBGene00007864,greater,enriched
WBGene00007866,greater,enriched
WBGene00007867,greater,enriched
WBGene00007875,greater,enriched
WBGene00010127,greater,enriched
WBGene00010128,greater,enriched
WBGene00010125,greater,enriched
WBGene00010123,greater,enriched
WBGene00010124,greater,enriched
WBGene00010745,greater,enriched
WBGene00010746,greater,enriched
WBGene00010747,greater,enriched
WBGene00010750,greater,enriched
WBGene00010749,greater,enriched
WBGene00009895,greater,enriched
WBGene00044280,greater,enriched
WBGene00007460,greater,enriched
WBGene00007452,greater,enriched
WBGene00007453,greater,enriched
WBGene00007455,greater,enriched
WBGene00008123,greater,enriched
WBGene00012889,greater,enriched
WBGene00009927,greater,enriched
WBGene00010083,greater,enriched
WBGene00010086,greater,enriched
WBGene00010793,greater,enriched
WBGene00013295,greater,enriched
WBGene00001330,greater,enriched
WBGene00013637,greater,enriched
WBGene00013643,greater,enriched
WBGene00013101,greater,enriched
WBGene00013119,greater,enriched
WBGene00013118,greater,enriched
WBGene00016877,greater,enriched
WBGene00013996,greater,enriched
WBGene00014000,greater,enriched
WBGene00012134,greater,enriched
WBGene00008194,greater,enriched
WBGene00008200,greater,enriched
WBGene00008199,greater,enriched
WBGene00004061,greater,enriched
WBGene00045013,greater,enriched
WBGene00008709,greater,enriched
WBGene00001240,greater,enriched
WBGene00008352,greater,enriched
WBGene00019183,greater,enriched
WBGene00003670,greater,enriched
WBGene00019182,greater,enriched
WBGene00016219,greater,enriched
WBGene00016218,greater,enriched
WBGene00016217,greater,enriched
WBGene00269434,greater,enriched
WBGene00018241,greater,enriched
WBGene00000081,greater,enriched
WBGene00021910,greater,enriched
WBGene00002269,greater,enriched
WBGene00004922,greater,enriched
WBGene00020760,greater,enriched
WBGene00020453,greater,enriched
WBGene00020455,greater,enriched
WBGene00020456,greater,enriched
WBGene00020449,greater,enriched
WBGene00020448,greater,enriched
WBGene00019914,greater,enriched
WBGene00021336,greater,enriched
WBGene00021339,greater,enriched
WBGene00021340,greater,enriched
WBGene00022490,greater,enriched
WBGene00022497,greater,enriched
WBGene00003978,greater,enriched
WBGene00022487,greater,enriched
WBGene00022486,greater,enriched
WBGene00013839,greater,enriched
WBGene00013838,greater,enriched
WBGene00013836,greater,enriched
WBGene00013837,greater,enriched
WBGene00022330,greater,enriched
WBGene00022326,greater,enriched
WBGene00044402,greater,enriched
WBGene00022338,greater,enriched
WBGene00022346,greater,enriched
WBGene00022337,greater,enriched
WBGene00044761,greater,enriched
WBGene00022353,greater,enriched
WBGene00021253,greater,enriched
WBGene00021261,greater,enriched
WBGene00005141,greater,enriched
WBGene00021262,greater,enriched
WBGene00021256,greater,enriched
WBGene00189950,greater,enriched
WBGene00020637,greater,enriched
WBGene00021860,greater,enriched
WBGene00021862,greater,enriched
WBGene00044403,greater,enriched
WBGene00017103,greater,enriched
WBGene00003711,greater,enriched
WBGene00021847,greater,enriched
WBGene00021852,greater,enriched
WBGene00022196,greater,enriched
WBGene00003941,greater,enriched
WBGene00022178,greater,enriched
WBGene00022179,greater,enriched
WBGene00022181,greater,enriched
WBGene00019261,greater,enriched
WBGene00018990,greater,enriched
WBGene00021820,greater,enriched
WBGene00021805,greater,enriched
WBGene00021814,greater,enriched
WBGene00007928,greater,enriched
WBGene00010811,greater,enriched
WBGene00008091,greater,enriched
WBGene00007963,greater,enriched
